연번,업소명,업소소재지(도로명),소재지전화
351,제주골프호텔,제주특별자치도 제주시 과원북4길 97 (연동),064-748-5700
352,우수,제주특별자치도 제주시 중앙로2길 11 (삼도이동),064-756-1746
353,이제이,제주특별자치도 제주시 제원1길 19 (연동),064-712-7880
354,신제주리치,제주특별자치도 제주시 삼무로1길 6-2 (연동),064-746-6888
355,탑동호텔,제주특별자치도 제주시 서부두남길 19 (건입동),064-723-3600
356,더케이제주호텔(주)라마다프라자제주호텔,제주특별자치도 제주시 탑동로 66 (삼도이동),064-729-8251
357,황제모텔,제주특별자치도 제주시 서광로26길 3 (삼도일동외1필지),064-752-4650
358,버킹검,제주특별자치도 제주시 삼무로9길 39 (연동),064-749-9595
359,메이저호텔,제주특별자치도 제주시 사장3길 36 (연동),064-745-5800
360,스위트호텔,제주특별자치도 제주시 삼무로3길 9 (연동),064-744-1144
361,리베로위너스,제주특별자치도 제주시 은남1길 34 (연동),064-748-6688
362,비,제주특별자치도 제주시 신대로12길 16 (연동),064-747-6565
363,뜨레비호텔,제주특별자치도 제주시 연동7길 8 (연동),064-713-5011
364,한화호텔앤드리조트(주),제주특별자치도 제주시 명림로 575-107 (회천동),064-725-9000
365,히트여관,제주특별자치도 제주시 중앙로3길 34 (일도일동),064-721-1265
366,한수장여관,제주특별자치도 제주시 한림읍 한림로 663,064-796-0838
367,바다마을휴양펜션,제주특별자치도 제주시 조천읍 북촌서길 22 (외2필지),064-784-1355
368,에뜨왈관광호텔,제주특별자치도 제주시 애월읍 중엄3길 50 (외 2필지),064-712-2266
369,제주토비스콘도,제주특별자치도 제주시 애월읍 애월로1길 8,064-799-4400
370,한림명동,제주특별자치도 제주시 한림읍 한림로19길 5,064-796-3421
371,레몬트리,제주특별자치도 제주시 애월읍 가문동길 4,064-713-9092
372,밀레니엄호텔,제주특별자치도 제주시 애월읍 부룡수길 13,064-799-8060
373,올레캐슬리조트,제주특별자치도 제주시 조천읍 일주동로 1579,064-782-6522
374,영일여관,제주특별자치도 제주시 한림읍 한림로 697,064-796-2346
375,(주)꼬뜨도르가족호텔,제주특별자치도 제주시 구좌읍 일주동로 1724,064-782-0800
376,동양개발(주) 제주동양콘도미니엄,제주특별자치도 제주시 애월읍 애월해안로 708,064-713-5100
377,에이치쓰리,제주특별자치도 제주시 한림읍 금능남1길 6-1,064-796-5000
378,샤이니 하우스,제주특별자치도 제주시 구좌읍 송당4길 7,064-783-5089
379,제이제이 타운,제주특별자치도 제주시 조천읍 중산간동로 1513,064-784-8666
380,그린제주우도휴양펜션,제주특별자치도 제주시 우도면 우도해안길 290,064-782-7588
381,(주)오션그랜드호텔,제주특별자치도 제주시 조천읍 조함해안로 490,064-783-0007
382,노블레스호텔,제주특별자치도 제주시 연동8길 31 (연동),064-748-1500
383,해광,제주특별자치도 제주시 탑동로 29 (삼도이동),064-702-6775
384,뉴샤르망호텔,제주특별자치도 제주시 원노형3길 3 (노형동),064-742-9030
385,애플,제주특별자치도 제주시 동광로 45 (이도일동),064-725-1552
386,블루베이,제주특별자치도 제주시 내도7길 20 (내도동),064-713-3577
387,돌과바람,제주특별자치도 제주시 해안마을길 62 (해안동),064-747-4574
388,예다움,제주특별자치도 제주시 백포북길 25 (이호일동),064-711-3030
389,비원모텔,제주특별자치도 제주시 남성로 129-4 (삼도일동),064-752-1285
390,가완모텔,제주특별자치도 제주시 만덕로6길 31 (일도일동),064-724-6888
391,선화모텔,제주특별자치도 제주시 고마로11길 4-2 (일도이동),064-755-5575
392,씨에프모텔,제주특별자치도 제주시 중앙로7길 21-1 (일도일동),064-726-3230
393,모나코호텔,제주특별자치도 제주시 제원1길 1 (연동),064-746-6800
394,제주엘루이호텔,제주특별자치도 제주시 서광로21길 1 (삼도일동),064-727-0037
395,보보스모텔,제주특별자치도 제주시 서부두남길 20 (건입동),064-727-7200
396,아이존호텔,제주특별자치도 제주시 신광로4길 18 (연동),064-747-9958
397,디셈버호텔,제주특별자치도 제주시 삼무로1길 15 (연동),064-745-7800
398,제주또올레,제주특별자치도 제주시 한경면 판포2길 44,064-772-1241
399,편안호텔,제주특별자치도 제주시 애월읍 광령평화8길 20,064-748-8558
400,부띠끄호텔 바리,제주특별자치도 제주시 조천읍 조함해안로 476-3 ( 1242 1240-3),064-784-7770
401,비치스토리호텔,제주특별자치도 제주시 조천읍 조함해안로 492-5,064-784-7400
402,산림조합리조트,제주특별자치도 제주시 구좌읍 충렬로 141-1,064-784-2217
403,아이지에이치,제주특별자치도 제주시 한경면 금등3길 25,064-772-3340
404,허브인휴양펜션,제주특별자치도 제주시 한림읍 귀덕6길 92-17 ((2723-2 2731-3)),064-796-6634
405,대명리조트제주휴양콘도미니엄,제주특별자치도 제주시 조천읍 신북로 577 (외 4실지),064-780-5023
406,제주힐리조트,제주특별자치도 제주시 한림읍 명월성로 394,064-796-2400
407,제일여관,제주특별자치도 제주시 한림읍 한림로 633-1,064-796-0607
408,라온골프클럽휴양콘도미니엄,제주특별자치도 제주시 한경면 용금로 998,064-795-1000
409,엘스위트휴양콘도미니엄,제주특별자치도 제주시 애월읍 평화로 1738-116,064-798-7000
410,모텔 준,제주특별자치도 제주시 서광로26길 8-12 (삼도일동),064-756-4046
411,발리,제주특별자치도 제주시 삼무로 26 (연동),064-745-0016
412,메모리,제주특별자치도 제주시 평전1길 1 (삼도일동),064-753-0865
413,하이드파크,제주특별자치도 제주시 만덕로6길 29 (일도일동외2),064-702-0507
414,풀하우스,제주특별자치도 제주시 서광로25길 4 (삼도일동),064-755-6079
415,티나모텔,제주특별자치도 제주시 서광로19길 21 (삼도일동),064-753-5050
416,(유)U-호텔,제주특별자치도 제주시 연동9길 38 (연동),064-746-8333
417,대영,제주특별자치도 제주시 고산동산1길 9-12 (이도이동),064-752-5458
418,줄리아나모텔,제주특별자치도 제주시 신성로13길 25-1 (이도이동),064-727-7373
419,제주아이비,제주특별자치도 제주시 노연로 13 (노형동),064-711-8500
420,프라임,제주특별자치도 제주시 광양6길 13 (이도일동),064-721-7008
421,한라산모텔,제주특별자치도 제주시 남성로 118 (삼도일동),064-752-9401
422,네이처피아리조트투,제주특별자치도 제주시 애월읍 광령평화2길 116-20,064-746-8005
423,제주발리리조트,제주특별자치도 제주시 한림읍 일주서로 5083-5 (외 4필지),064-796-8235
424,노노레타,제주특별자치도 제주시 구좌읍 충렬로 141-1,064-783-0804
425,명성여관,제주특별자치도 제주시 한림읍 한림로12길 3,064-796-5454
426,(주)타미우스골프앤빌리지,제주특별자치도 제주시 애월읍 화전길 201 (외 24필지),064-793-0707
427,블랙스톤리조트,제주특별자치도 제주시 한림읍 한창로 925-122,064-795-2000
428,샘터휴양펜션,제주특별자치도 제주시 조천읍 교래1길 45-3,064-782-0349
429,햇빛휴양펜션,제주특별자치도 제주시 조천읍 교래1길 45-5,064-782-6445
430,빌레리조트,제주특별자치도 제주시 애월읍 고내로13길 79,064-799-2002
431,더갤러리,제주특별자치도 제주시 조천읍 남조로 1717-24,064-784-4284
432,(주)블랙스톤리조트,,064-795-2126
433,폴라리스,제주특별자치도 제주시 애월읍 유수암동3길 45,064-799-9800
434,빌로우비치,제주특별자치도 제주시 애월읍 곽지1길 23,064-799-2345
435,제주일성콘도미니엄,제주특별자치도 제주시 한림읍 한림로 127,064-796-8400
436,스웨덴,제주특별자치도 제주시 한림읍 명재로 100-45,064-796-9779
437,베스트웨스턴 제주호텔,제주특별자치도 제주시 도령로 27 (노형동),064-797-6001
438,스마일모텔,제주특별자치도 제주시 연동13길 42 (연동),064-743-6677
439,산호펜션,제주특별자치도 제주시 우도면 우도해안길 272,064-784-2355
440,썸머뷰펜션,제주특별자치도 제주시 우도면 우도해안길 378,064-783-5210
441,오케이,제주특별자치도 제주시 서광로2길 25 (오라일동),064-726-5599
442,그리스,제주특별자치도 제주시 삼무로 44 (연동),064-745-3334
443,라헨느콘도미니엄,제주특별자치도 제주시 명림로 384 (봉개동외 1필지),064-754-9000
444,(주)푸른콘도,제주특별자치도 제주시 한림읍 귀덕6길 146,064-796-0657
445,뉴맨하탄관광호텔,제주특별자치도 제주시 도령로 66 (연동),064-742-7991
446,애월파라다이스리조트,제주특별자치도 제주시 애월읍 하소로 557-9,064-799-8202
447,힐파크모텔,제주특별자치도 제주시 은남3길 46 (연동),064-711-8047
448,길섶나그네,제주특별자치도 제주시 조천읍 미래로 241,064-782-5971
449,신안관광개발(주)에버리스골프리조트,제주특별자치도 제주시 애월읍 평화로 1693-75,064-795-5000
450,이채,제주특별자치도 제주시 은남1길 3 (연동),064-749-2700
451,세인트포휴양콘도미니엄,제주특별자치도 제주시 구좌읍 선유로 445-46,064-782-3800
452,대성휴양빌리지,제주특별자치도 제주시 애월읍 하소로 684-45,064-799-7171
453,그림리조트,제주특별자치도 제주시 서해안로 620-1 (용담삼동),064-742-2080
454,보오메꾸뜨르부띠끄호텔,제주특별자치도 제주시 신광로 95 (연동),064-798-8000
455,(주)다인리조트,제주특별자치도 제주시 애월읍 애월해안로 400-9,064-799-2600
456,부림장,제주특별자치도 제주시 고마로 1 (일도이동),064-727-8254
457,한솔개발,제주특별자치도 제주시 애월읍 애월로 37,064-799-6061
458,쌈지모텔,제주특별자치도 제주시 서사로4길 15-1 (삼도일동),064-726-2653
459,크라운컨트리클럽골프빌리지,제주특별자치도 제주시 조천읍 북선로 125,064-784-4811
460,(주)호텔앤리조트 올레리조트,제주특별자치도 제주시 애월읍 부룡수길 33,064-799-7770
461,스카이리더스호텔,제주특별자치도 제주시 신광로 106 (연동외 1필지),064-747-0003
462,(주)지마이다스뉴오션리조트,제주특별자치도 제주시 애월읍 고내로13길 59,064-799-0797
463,크리스탈,제주특별자치도 제주시 구좌읍 세화1길 15,064-784-4000
464,로그밸리,제주특별자치도 제주시 애월읍 소길남길 190-19,064-799-0140
465,한국교회이기풍선교기념관,제주특별자치도 제주시 조천읍 남조로 2125,064-782-6969
466,찰리호텔,제주특별자치도 제주시 서사로 128 (삼도일동),064-723-8887
467,(주)다인리조트투(2차),제주특별자치도 제주시 애월읍 애월해안로 400-9,064-799-2600
468,로하스통나무집,제주특별자치도 제주시 애월읍 봉매동산길 153-20,064-794-1515
469,삼육구,제주특별자치도 제주시 조천읍 와흘로 369,064-726-5566
470,해오름,제주특별자치도 제주시 조천읍 신북로 523,064-782-1552
471,헌스빌펜션,제주특별자치도 제주시 애월읍 소길남길 244-5,064-799-4665
472,통나무밸리,제주특별자치도 제주시 애월읍 소길남길 177,064-799-0110
473,파크사이드호텔,제주특별자치도 제주시 도령로 126 (연동),064-746-4545
474,엘케이호텔,제주특별자치도 제주시 한림읍 한림로 245-5 (외2),064-796-5595
475,에코랜드 골프호텔,제주특별자치도 제주시 조천읍 번영로 1278-169,064-802-8000
476,제주레포츠랜드주식회사,제주특별자치도 제주시 조천읍 와흘상서2길 47 (외3필지),064-784-8800
477,한라산리조트(주),제주특별자치도 제주시 선돌목동길 56-46 (오등동10-14번지외 2필지),064-754-5614
478,주식회사 오션스위츠,제주특별자치도 제주시 탑동해안로 74 (삼도이동),064-720-6000
479,영빈,제주특별자치도 제주시 관덕로17길 9-2 (일도일동),064-722-2591
480,비양도모텔,제주특별자치도 제주시 한림읍 한림해안로 134,064-796-5851
481,무인텔 포유,제주특별자치도 제주시 애월읍 상가목장길 12,064-799-5001
482,해변장 여관,제주특별자치도 제주시 추자면 추자로 532,064-742-8092
483,제주펜션오다,제주특별자치도 제주시 서해안로 452 (용담삼동(23층)),064-712-2005
484,올레해오름,제주특별자치도 제주시 애월읍 광령평화2길 142-19,064-745-5544
485,제주야스라기,제주특별자치도 제주시 애월읍 상귀서길 82-34,
486,친절,제주특별자치도 제주시 임항로 74-1 (건입동),064-755-5132
487,금성당,제주특별자치도 제주시 애월읍 광령평화2길 17-3,064-748-7942
488,한림항,제주특별자치도 제주시 한림읍 한림로 656,064-796-8620
489,국제호텔,제주특별자치도 제주시 연동1길 8 (연동),064-748-4988
490,킹스통나무,제주특별자치도 제주시 애월읍 도치돌길 283 (외1필지),070-4144-3322
491,드림시아,제주특별자치도 제주시 조천읍 일주동로 1594 (나동다동라동),070-4111-0646
492,황토마을,제주특별자치도 제주시 조천읍 번영로 1629 (선흘황토마을다세대주택나동 107호108호109호110호),064-782-9000
493,광령호텔,제주특별자치도 제주시 애월읍 하광로 289,064-745-5576
494,베수비오,제주특별자치도 제주시 애월읍 상가목장길 84,064-757-2466
495,예예하우스,제주특별자치도 제주시 애월읍 도치돌길 279-1 (외 1필지 제12345678호),
496,제주메이플호텔,제주특별자치도 제주시 원노형3길 41 (노형동),064-745-6776
497,유티에스골프빌리지,제주특별자치도 제주시 애월읍 광령평화2길 170-2,064-799-0794
498,절물앞동천펜션,제주특별자치도 제주시 조천읍 명림로 655-77,064-758-6565
499,월드와이드,제주특별자치도 제주시 애월읍 광령평화2길 116-12,064-799-7759
500,쇼모텔,제주특별자치도 제주시 애월읍 평화로 2500,064-799-5282
501,그린데이,제주특별자치도 제주시 남성로 158-3 (삼도이동(2층)),070-7840-2533
502,해피모텔,제주특별자치도 제주시 은남4길 9 (연동),064-749-1180
503,라온프라이빗타운,제주특별자치도 제주시 한림읍 금능남로 127,064-795-3000
504,호텔라온제주,제주특별자치도 제주시 한림읍 금능남로 127,064-795-3000
505,힐링하우스,제주특별자치도 제주시 홍랑길 4-6 (삼도일동),064-745-0600
506,호텔더블유,제주특별자치도 제주시 은남4길 42 (연동),064-752-7000
507,초콜릿,제주특별자치도 제주시 신광로4길 8 (연동),064-744-1090
508,제주도게스트하우스숨제주공항점,제주특별자치도 제주시 서광로5길 2-2 (용담일동),070-8810-0106
509,엠모텔,제주특별자치도 제주시 전농로 59 (삼도일동),064-755-5667
510,제주나인리조트,제주특별자치도 제주시 해안마을북길 14-5 (해안동),064-722-2222
511,해미안,제주특별자치도 제주시 일주서로 7353 (외도이동),064-713-2001
512,김녕스마일,제주특별자치도 제주시 구좌읍 김녕로 85,
513,제주도한라산,제주특별자치도 제주시 조천읍 비자림로 631,064-784-8488
514,린든,제주특별자치도 제주시 서광로 278 (이도이동),064-756-5506
515,루온토,제주특별자치도 제주시 한경면 판포4길 41-41,064-773-1684
516,오피러스호스텔,제주특별자치도 제주시 일주서로 7345 (외도이동),064-712-6644
517,비앤비판게스트하우스,제주특별자치도 제주시 중앙로3길 1 (건입동),070-4218-7575
518,로긴리조트,제주특별자치도 제주시 서해안로 442-11 (용담삼동),064-723-3333
519,에이티눈,제주특별자치도 제주시 은남1길 8 (연동),064-749-2500
520,용두암캐빈,제주특별자치도 제주시 어영길 32 (용담삼동),064-712-2550
521,스웨덴호스텔,제주특별자치도 제주시 한림읍 명재로 100-47,064-796-9779
522,에바다호스텔,제주특별자치도 제주시 현사길 45 (이호일동),064-744-1398
523,카이,제주특별자치도 제주시 한림읍 협재2길 10,064-796-2428
524,아덴힐리조트,제주특별자치도 제주시 한림읍 화전길 82,064-730-7023
525,이그니스,제주특별자치도 제주시 애월읍 평화로 2496,064-799-2300
526,오크라,제주특별자치도 제주시 신광로4길 38 (연동),064-748-2280
527,퀸,제주특별자치도 제주시 애월읍 평화로 2540,064-799-5800
528,이호리조트,제주특별자치도 제주시 도리로 106-16 (이호일동),064-711-6625
529,더올레,제주특별자치도 제주시 조천읍 교래4길 74,070-4548-4242
530,엑스오,제주특별자치도 제주시 애월읍 광령평화2길 35,064-713-3336
531,베누스,제주특별자치도 제주시 애월읍 유수암평화5길 92,064-799-8289
532,블루하와이,제주특별자치도 제주시 한림읍 한림로 77,064-773-0800
533,라 파로마 휴양펜션,제주특별자치도 제주시 한림읍 협재로 62,064-796-8121
534,제주무이,제주특별자치도 제주시 애월읍 엄수로 148,064-711-9651
535,천마비지니스호텔,제주특별자치도 제주시 중앙로 20 (삼도이동),064-702-7011
536,너울빌리지,제주특별자치도 제주시 한경면 일주서로 4469,064-749-2777
537,윈드힐호스텔,제주특별자치도 제주시 애월읍 애월해안로 554-8,064-799-3344
538,수진,제주특별자치도 제주시 중앙로7길 29-1 (일도일동),064-702-2403
539,예준,제주특별자치도 제주시 한림읍 한림로8길 18,064-796-8878
540,대명리조트제주 신관,제주특별자치도 제주시 조천읍 신북로 577,064-780-5040
541,스완지,제주특별자치도 제주시 서해안로 84 (이호일동),064-744-6700
542,제주도게스트하우스민트,제주특별자치도 제주시 서광로5길 2-4 (용담일동),064-721-0106
543,제주시간여행 휴양펜션,제주특별자치도 제주시 애월읍 엄장로 17-6,064-799-4900
544,헤라,제주특별자치도 제주시 애월읍 평화로 2820-67,064-749-3840
545,엠제이호텔,제주특별자치도 제주시 신광로4길 16 (연동),064-713-8900
546,해모루,제주특별자치도 제주시 애월읍 유수암평화길 227,064-799-3353
547,제주스카이라인휴양펜션,제주특별자치도 제주시 축산마을1길 51-24 (해안동),064-747-1570
548,올레관광호텔,제주특별자치도 제주시 서광로 254 (삼도일동),064-723-2727
549,에덴,제주특별자치도 제주시 서해안로 456-12 (용담삼동),064-749-0006
550,호텔루트,제주특별자치도 제주시 고마로15길 33 (일도이동),064-755-8813
551,오션패밀리호텔,제주특별자치도 제주시 일주서로 7531 (이호일동),064-712-3900
552,홍익제주호텔,제주특별자치도 제주시 한림읍 일주서로 5125,064-723-5801
553,제주하늬바람 5,제주특별자치도 제주시 애월읍 신상로 268,064-743-8114
554,호텔펄리,제주특별자치도 제주시 노형로 79 (해안동),064-726-0061
555,레브호텔제주,제주특별자치도 제주시 은남1길 15 (연동),064-745-8228
556,헤브론힐 리조트,제주특별자치도 제주시 애월읍 고성남서길 76,064-742-0090
557,오렌지트리,제주특별자치도 제주시 관덕로8길 7-12 (이도일동),1899-4233
558,하모니리조트,제주특별자치도 제주시 한림읍 협재로 213,064-796-8441
559,고스트하우스,제주특별자치도 제주시 애월읍 부룡수길 35-12,064-799-6001
560,비지터,제주특별자치도 제주시 오현길 85 (이도일동),064-755-4860
561,제주공항게스트하우스,제주특별자치도 제주시 관덕로8길 24 (삼도이동),064-900-2358
562,제주에어포트호텔,제주특별자치도 제주시 도령로 102 (연동),064-745-9555
563,호텔오슬로,제주특별자치도 제주시 서해안로 442-9 (용담삼동),064-712-2377
564,제이투호스텔,제주특별자치도 제주시 삼무로3길 37 (연동),064-713-2400
565,엠버서더,제주특별자치도 제주시 삼무로 12 (연동),064-745-7459
566,해 호텔,제주특별자치도 제주시 서해안로 526 (용담삼동),064-742-5356
567,샹그릴라 호텔,제주특별자치도 제주시 해안마을북길 14-4 (해안동),064-743-8098
568,롯데시티호텔 제주,제주특별자치도 제주시 도령로 83 5~21층 (연동),064-730-1000
569,이꼬이,제주특별자치도 제주시 중앙로5길 18 2~3층 (일도일동),070-8239-9408
570,레드월 호스텔,제주특별자치도 제주시 현사길 33 3동 1~4층 (이호일동),064-743-6444
571,엠버호텔센트럴,제주특별자치도 제주시 노연로 24 (노형동),064-747-0771
572,아모르 하우스,제주특별자치도 제주시 구좌읍 해맞이해안로 2060-18,064-783-1111
573,씨앤제이관광호텔,제주특별자치도 제주시 광양8길 24 (이도이동),064-755-7413
574,루미수다게스트하우스,제주특별자치도 제주시 중앙로 192 3층 (이도일동),064-752-1144
575,아름장,제주특별자치도 제주시 무근성7길 21 1~2층 (삼도이동),064-753-8988
576,호텔 컬리넌,제주특별자치도 제주시 사장1길 26 (연동),064-743-6500
577,오라,제주특별자치도 제주시 연북로 217 (오라이동),064-713-6260
578,씨엘,제주특별자치도 제주시 고마로 35 (일도이동),064-724-8255
579,한울모텔 2(투),제주특별자치도 제주시 애월읍 하광로 540-12,064-711-5111
580,한울모텔,제주특별자치도 제주시 애월읍 하광로 540-10,064-711-5111
581,더자라,제주특별자치도 제주시 애월읍 평화로 2839,064-749-0012
582,무등산 모텔,제주특별자치도 제주시 만덕로6길 34 2층 (일도일동),064-722-6309
583,씨앤,제주특별자치도 제주시 일주서로 7490 (내도동),064-711-7400
584,간세,제주특별자치도 제주시 서광로 278 4층 (이도이동),064-713-0706
585,트멍,제주특별자치도 제주시 만덕로4길 18 (건입동),064-721-9404
586,씨엘블루호텔,제주특별자치도 제주시 서해안로 368-3 (용담삼동),064-727-9995
587,그라벨호텔제주,제주특별자치도 제주시 일주서로 7316 (외도일동),064-740-8010
588,루스톤빌라앤호텔,제주특별자치도 제주시 애월읍 애월해안로 406,064-799-1671
589,루스톤호텔,제주특별자치도 제주시 애월읍 애월해안로 408,064-799-1671
590,호텔 로베로 Ⅱ,제주특별자치도 제주시 관덕로4길 1-14 (삼도이동),064-757-7111
591,호텔 레오(HOTEL LEO),제주특별자치도 제주시 삼무로 14 (연동),064-748-8660
592,케이모텔,제주특별자치도 제주시 광양4길 3 (이도일동),064-756-8700
593,에이원호텔,제주특별자치도 제주시 사장1길 10 (연동),064-748-8300
594,아스타호텔,제주특별자치도 제주시 서사로 129 (삼도일동),064-710-1151
595,호텔 더 레드,제주특별자치도 제주시 동광로6길 10 (이도이동),064-725-7252
596,(주)아이진,제주특별자치도 제주시 신대로22길 4 (연동),064-745-0700
597,티(T),제주특별자치도 제주시 조천읍 남조로 2393,064-757-5223
598,휴,제주특별자치도 제주시 애월읍 평화로 2519,064-805-9988
599,다이아나호텔,제주특별자치도 제주시 임항로 249 (건입동),064-750-8988
600,(주)한국폴로컨트리클럽,제주특별자치도 제주시 구좌읍 월행남길 322-30,064-784-9000
601,탑팰리스관광호텔,제주특별자치도 제주시 중앙로 34 (일도일동),064-721-8898
602,베니키아호텔 제주,제주특별자치도 제주시 애월읍 애월해안로 554-10,064-799-3544
603,케이관광호텔,제주특별자치도 제주시 연동3길 10 (연동),064-743-2123
604,유니호텔,제주특별자치도 제주시 애월읍 애월해안로 656,064-741-5000
605,동오름,제주특별자치도 제주시 조천읍 번영로 1616-6,064-782-6655
606,브르하우스,제주특별자치도 제주시 고마로1길 1 (일도이동),064-755-5933
607,아랑조아,제주특별자치도 제주시 조천읍 남조로 2397,064-784-0234
608,퀸스호텔,제주특별자치도 제주시 애월읍 사라길 169,064-748-8857
609,신라스테이제주,제주특별자치도 제주시 노연로 100 (연동),064-717-9000
610,제니아관광호텔,제주특별자치도 제주시 은남1길 25 (연동),064-797-9000
611,코지,제주특별자치도 제주시 조천읍 남조로 1726,064-783-9996
612,제주갤럭시호텔,제주특별자치도 제주시 남성로 33 (용담일동),064-750-3355
613,사하라관광호텔,제주특별자치도 제주시 서광로 265 (삼도일동),064-721-0707
614,교래텔,제주특별자치도 제주시 조천읍 남조로 1772-39,064-782-5855
615,제주해마관광호텔,제주특별자치도 제주시 삼무로 28 (연동),064-786-6000
616,(주)베니키아호텔제주,제주특별자치도 제주시 애월읍 애월해안로 554-6,064-799-3544
617,수복,제주특별자치도 제주시 관덕로 34-1 (삼도이동),064-724-4594
618,제주포도,제주특별자치도 제주시 광양2길 2 (이도일동),064-753-0441
619,참피온,제주특별자치도 제주시 남성로 131 (삼도일동),064-751-8801
620,제주엠,제주특별자치도 제주시 애월읍 신상로 196,064-799-0505
621,에스호텔(주),제주특별자치도 제주시 오일장중길 26 (도두일동),064-749-9928
622,블랙샌즈호텔,제주특별자치도 제주시 선사로 8 (삼양이동),064-740-0888
623,맥스,제주특별자치도 제주시 조천읍 번영로 1208-7,064-783-8817
624,계씨하우스,제주특별자치도 제주시 애월읍 금성1길 29-1,
625,호텔더원,제주특별자치도 제주시 사장3길 33 (연동),064-798-0001
626,애월힐,제주특별자치도 제주시 애월읍 하소로 507,064-799-7796
627,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,064-735-9000
628,제주인,제주특별자치도 제주시 신산마을길 20 (내도동),064-754-1110
629,탑아일랜드,제주특별자치도 제주시 용남1길 47 (용담일동),064-753-1060
630,하버,제주특별자치도 제주시 임항로 260 (건입동),064-754-6000
631,큰돈물,제주특별자치도 제주시 조천읍 신북로 491-1,064-783-6460
632,리젠트마린더블루,제주특별자치도 제주시 서부두2길 20 (건입동),064-717-5000
633,제이제이스테이,제주특별자치도 제주시 서광로 197-1 (삼도일동),064-721-8331
634,탐라스테이 제주,제주특별자치도 제주시 애월읍 애월해안로 881,064-742-8848
635,지엠제이,제주특별자치도 제주시 한림읍 한림로15길 2,064-796-8377
636,제이케이 라마다앙코르제주,제주특별자치도 제주시 도령로 124 (연동),064-797-5011
637,제주센트럴시티호텔,제주특별자치도 제주시 노연로 66 (연동),064-800-2500
638,코비치,제주특별자치도 제주시 애월읍 일주서로 6111,
639,슬림호텔,제주특별자치도 제주시 서광로 292-1 (이도이동),
640,바오젠,제주특별자치도 제주시 은남2길 41 3층 (연동),
641,전원,제주특별자치도 제주시 삼무로11길 38 (연동),
642,제이드림호텔,제주특별자치도 제주시 은남1길 40 (연동),064-711-0062
643,세종,제주특별자치도 제주시 신광로 74 (연동),064-746-6151
644,어반아일랜드호텔,제주특별자치도 제주시 삼무로 76 (연동),064-740-1900
645,뉴추자아일랜드,제주특별자치도 제주시 추자면 추자로 581-6,064-744-0533
646,스카이힐비지니스관광호텔,제주특별자치도 제주시 서광로24길 1 (삼도일동),064-751-5177
647,더스테이센추리호텔,제주특별자치도 제주시 애월읍 일주서로 7113 (외 3필지),
648,스토리인제주,제주특별자치도 제주시 중앙로12길 5 (이도일동),064-757-3796
649,솔,제주특별자치도 제주시 구좌읍 해맞이해안로 2478,064-782-2478
650,깡통텔,제주특별자치도 제주시 애월읍 광상로 49-1,064-722-2323
