연번,업종명,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
2223,일반음식점,산천초목오리약선요리,제주특별자치도 제주시 오복6길 8 (이도이동),제주특별자치도 제주시 이도이동 1068번지 22호 ,40.7,064-723-5670,한식
2224,일반음식점,투투스토리,제주특별자치도 제주시 다랑곶6길 8 (노형동(1층)),제주특별자치도 제주시 노형동 1293번지 5호 (1층) ,66,064-713-1002,호프/통닭
2225,일반음식점,시골길이도점,제주특별자치도 제주시 오복2길 23 (이도이동101호(법원동로27)),제주특별자치도 제주시 이도이동 1078번지 15호 101호(법원동로27) ,64.12,064-758-0566,한식
2226,일반음식점,미복,제주특별자치도 제주시 신대로16길 49 (연동(연중6로16)),제주특별자치도 제주시 연동 273번지 37호 (연중6로16) ,30.71,064-746-2002,한식
2227,일반음식점,용구비어,제주특별자치도 제주시 신광로10길 20 1층 (연동),제주특별자치도 제주시 연동 255번지 3호 ,48.6,064-713-8252,호프/통닭
2228,일반음식점,추자섬바당,제주특별자치도 제주시 삼성로 73 (일도이동(삼성로93)),제주특별자치도 제주시 일도이동 1034번지 7호 (삼성로93) ,73.08,064-702-5292,회집
2229,일반음식점,바당동네,제주특별자치도 제주시 월성로 26 (용담이동),제주특별자치도 제주시 용담이동 2747번지 6호 ,132,064-743-0330,회집
2230,일반음식점,조운정,제주특별자치도 제주시 문송1길 23 1층 (연동),제주특별자치도 제주시 연동 312번지 44호 ,61.68,064-744-5543,한식
2231,일반음식점,헬로우프렌드,제주특별자치도 제주시 과원북2길 64 (연동),제주특별자치도 제주시 연동 1496번지 2호 (1층) ,38.64,,한식
2232,일반음식점,연대,제주특별자치도 제주시 연대마을길 11-4 1층 (외도이동),제주특별자치도 제주시 외도이동 1935번지 1호 (1층) ,45.82,064-742-3156,회집
2233,일반음식점,쁠리,제주특별자치도 제주시 국기로3길 5-10 (연동),제주특별자치도 제주시 연동 1502번지 ,90.15,,호프/통닭
2234,일반음식점,확끌리네,제주특별자치도 제주시 도남로15길 18 104호 (도남동고덕쉐르빌),제주특별자치도 제주시 도남동 73번지 고덕쉐르빌 104호,61.88,064-721-9513,중국식
2235,일반음식점,목포세발낙지,제주특별자치도 제주시 중앙로 21-1 (건입동),제주특별자치도 제주시 건입동 1419번지 1호 ,33.59,064-759-8870,한식
2236,일반음식점,제이제이짬뽕,제주특별자치도 제주시 서해안로 348 (도두이동),제주특별자치도 제주시 도두이동 706번지 ,53.48,064-747-3545,회집
2237,일반음식점,사수만수횟집,제주특별자치도 제주시 서해안로 348-1 (도두이동),제주특별자치도 제주시 도두이동 706번지 7호 ,53.48,064-743-8828,회집
2238,일반음식점,삼번지,제주특별자치도 제주시 서해안로 350 (도두이동(서해안로347)),제주특별자치도 제주시 도두이동 706번지 8호 (서해안로347) ,53.48,064-711-6373,회집
2239,일반음식점,짜리몽땅,제주특별자치도 제주시 서광로 240 (삼도일동),제주특별자치도 제주시 삼도일동 579번지 ,23.04,064-757-7972,호프/통닭
2240,일반음식점,해물나라,제주특별자치도 제주시 용화로 33 (용담이동),제주특별자치도 제주시 용담이동 614번지 9호 ,73.06,064-711-8945,한식
2241,일반음식점,호텔하니크라운웨딩프라자,제주특별자치도 제주시 삼성로 10 (이도일동(삼성로12)),제주특별자치도 제주시 이도일동 1315번지 (삼성로12) ,978.9,064-758-4200,한식
2242,일반음식점,이모네,제주특별자치도 제주시 신성로 35-1 (도남동),제주특별자치도 제주시 도남동 905번지 25호 ,39.41,064-753-5484,한식
2243,일반음식점,다미순대,제주특별자치도 제주시 삼무로 47 (연동),제주특별자치도 제주시 연동 271번지 22호 ,46.42,064-743-5689,한식
2244,일반음식점,다미솔,제주특별자치도 제주시 용마서길 30 (용담삼동),제주특별자치도 제주시 용담삼동 969번지 2호 ,33.44,,한식
2245,일반음식점,여유,제주특별자치도 제주시 원노형로 23 (노형동 아산3차103호),제주특별자치도 제주시 노형동 915번지 2호 ,71.98,064-746-0315,까페
2246,일반음식점,제주본토박이,제주특별자치도 제주시 오복1길 14-1 1층 (이도이동),제주특별자치도 제주시 이도이동 1054번지 4호 ,65.66,064-755-1018,한식
2247,일반음식점,돈까스가있는풍경,제주특별자치도 제주시 정원로 39-1 (노형동),제주특별자치도 제주시 노형동 742번지 3호 ,66,064-713-0541,경양식
2248,일반음식점,춘천고려닭갈비,제주특별자치도 제주시 서광로32길 23 (이도이동),제주특별자치도 제주시 이도이동 1767번지 35호 ,62.73,,호프/통닭
2249,일반음식점,누네띠네,제주특별자치도 제주시 관덕로8길 19 (이도일동),제주특별자치도 제주시 이도일동 1394번지 ,84.7,064-724-4980,회집
2250,일반음식점,하이티파니,제주특별자치도 제주시 연북로 26 (노형동열린빌딩9층 901호(연북로26)),제주특별자치도 제주시 노형동 719번지 3호 열린빌딩9층 901호(연북로26) ,165,064-712-3117,까페
2251,일반음식점,화북코끼리만두,제주특별자치도 제주시 진동로5길 34 (화북일동(별도3로72)),제주특별자치도 제주시 화북일동 1966번지 18호 (별도3로72) ,49.96,,한식
2252,일반음식점,교촌치킨제주1호,제주특별자치도 제주시 삼무로 50 1층 (연동),제주특별자치도 제주시 연동 272번지 30호 ,155.7,064-711-0991,통닭(치킨)
2253,일반음식점,더블루,제주특별자치도 제주시 탑동로 66 (삼도이동),제주특별자치도 제주시 삼도이동 1254번지 외2필지 ,848.62,064-729-8251,한식
2254,일반음식점,스코트라,제주특별자치도 제주시 탑동로 66 (삼도이동),제주특별자치도 제주시 삼도이동 1254번지 외2필지 ,353.78,064-729-8251,경양식
2255,일반음식점,니하우,제주특별자치도 제주시 탑동로 66 (삼도이동),제주특별자치도 제주시 삼도이동 1254번지 외2필지 ,615.57,064-729-8100,한식
2256,일반음식점,부가네얼큰이,제주특별자치도 제주시 무근성길 46 (삼도이동(무근성로80)),제주특별자치도 제주시 삼도이동 1071번지 2호 (무근성로80) ,44.08,064-759-9245,한식
2257,일반음식점,피렌체,제주특별자치도 제주시 월랑로 15 (노형동),제주특별자치도 제주시 노형동 1064번지 7호 ,83.42,064-749-7955,경양식
2258,일반음식점,심가네,제주특별자치도 제주시 신대로20길 26 (연동(사장4로34)),제주특별자치도 제주시 연동 295번지 14호 (사장4로34) ,37,064-746-7823,한식
2259,일반음식점,제주지현정식닭갈비,제주특별자치도 제주시 수덕9길 82-5 (노형동),제주특별자치도 제주시 노형동 2588번지 10호 ,78.26,064-712-7177,식육(숯불구이)
2260,일반음식점,바라바라,제주특별자치도 제주시 연화로1길 20 (연동(연화2로30)),제주특별자치도 제주시 연동 1518번지 1호 (연화2로30) ,59.65,064-712-2200,호프/통닭
2261,일반음식점,스페샬동광점,제주특별자치도 제주시 동광로6길 35 (이도이동),제주특별자치도 제주시 이도이동 1141번지 20호 ,45.09,064-757-3702,호프/통닭
2262,일반음식점,부가네얼큰이신산점,제주특별자치도 제주시 신산로 46 (일도이동),제주특별자치도 제주시 일도이동 1031번지 1호 ,66.95,,호프/통닭
2263,일반음식점,투다리시청점,제주특별자치도 제주시 동광로6길 15 1층 (이도이동),제주특별자치도 제주시 이도이동 1175번지 6호 ,87.4,064-702-6787,호프/통닭
2264,일반음식점,해미안,제주특별자치도 제주시 일주서로 7353 102호 (외도이동),제주특별자치도 제주시 외도이동 338번지 1호 외1필지 102호,224.6,064-713-2013,회집
2265,일반음식점,김밥나라중앙점,제주특별자치도 제주시 중앙로 77 (이도일동),제주특별자치도 제주시 이도일동 1413번지 1호 ,41.25,064-759-9644,김밥(도시락)
2266,일반음식점,알지,제주특별자치도 제주시 신성로13길 31 (이도이동),제주특별자치도 제주시 이도이동 1185번지 11호 ,95.48,064-723-3799,호프/통닭
2267,일반음식점,본가장수촌,제주특별자치도 제주시 정원로 33 1층 (노형동),제주특별자치도 제주시 노형동 735번지 ,135.46,064-711-3352,한식
2268,일반음식점,샤이,제주특별자치도 제주시 서광로32길 17-1 1층 (이도이동),제주특별자치도 제주시 이도이동 1771번지 14호 ,90.44,064-753-6655,한식
2269,일반음식점,엘,제주특별자치도 제주시 서광로32길 17-1 2층 (이도이동),제주특별자치도 제주시 이도이동 1771번지 14호 2층 ,76.11,064-722-7887,호프/통닭
2270,일반음식점,이서림2호점,제주특별자치도 제주시 은남3길 38 (연동),제주특별자치도 제주시 연동 273번지 28호 ,42.38,064-745-5567,한식
2271,일반음식점,비탈감자래유,제주특별자치도 제주시 서광로22길 7 (삼도일동(1층)),제주특별자치도 제주시 삼도일동 580번지 5호 (1층) ,76.52,064-722-9344,한식
2272,일반음식점,호식이두마리치킨연동신시가지점,제주특별자치도 제주시 국기중길 5-6 (연동 드림텔),제주특별자치도 제주시 연동 1491번지 3호 드림텔 ,17.82,064-713-9945,통닭(치킨)
2273,일반음식점,무한사케무사제주연동점,제주특별자치도 제주시 연화로1길 20 1층 (연동),제주특별자치도 제주시 연동 1518번지 1호 ,53.32,064-743-1505,호프/통닭
2274,일반음식점,명화,제주특별자치도 제주시 동문로 16 (일도일동외3필지),제주특별자치도 제주시 일도일동 1148번지 2호 외3필지 ,10,064-725-2276,한식
2275,일반음식점,도큐하우스화북점,제주특별자치도 제주시 진동로 27-1 (화북일동),제주특별자치도 제주시 화북일동 1968번지 12호 ,71.01,064-725-9500,호프/통닭
2276,일반음식점,문동일셰프녹차고을,제주특별자치도 제주시 애월읍 하귀동남4길 13-1 1층,제주특별자치도 제주시 애월읍 하귀1리 235번지 5호 ,251.46,,한식
2277,일반음식점,꼬추,제주특별자치도 제주시 오복4길 10 1층 (이도이동),제주특별자치도 제주시 이도이동 1067번지 18호 ,66.88,,호프/통닭
2278,일반음식점,만남의횟집상봉,제주특별자치도 제주시 설촌로12길 24 (삼양이동(감수6로51)),제주특별자치도 제주시 삼양이동 2100번지 4호 (감수6로51) ,62.9,064-702-6313,회집
2279,일반음식점,촐래,제주특별자치도 제주시 연동12길 8 (연동(도호3로12)),제주특별자치도 제주시 연동 284번지 64호 (도호3로12) ,54.45,064-748-3001,한식
2280,일반음식점,머큐리,제주특별자치도 제주시 국기로2길 3 1층 (연동),제주특별자치도 제주시 연동 1485번지 11호 ,91.2,064-743-7767,호프/통닭
2281,일반음식점,교촌치킨이도1호점,제주특별자치도 제주시 광양13길 3 (이도이동),제주특별자치도 제주시 이도이동 1179번지 18호 ,81.28,064-756-5592,통닭(치킨)
2282,일반음식점,들향기,제주특별자치도 제주시 신대로10길 41 1층 (연동),제주특별자치도 제주시 연동 281번지 9호 ,80.95,,호프/통닭
2283,일반음식점,케이,제주특별자치도 제주시 천수로 68 113동 2층 207호 (일도이동),제주특별자치도 제주시 일도이동 47번지 1호 일도신천지아파트 113동 207호,40.5,064-702-6879,호프/통닭
2284,일반음식점,가마솥,제주특별자치도 제주시 고마로17길 11-9 (일도이동(천수2로27)),제주특별자치도 제주시 일도이동 377번지 8호 (천수2로27) ,19.46,064-713-4430,한식
2285,일반음식점,천우가든,제주특별자치도 제주시 서사로20길 37-1 (삼도일동(서병3로61)),제주특별자치도 제주시 삼도일동 506번지 (서병3로61) ,52.49,,식육(숯불구이)
2286,일반음식점,수향,제주특별자치도 제주시 서광로26길 11 (삼도일동(서운당5로25)),제주특별자치도 제주시 삼도일동 583번지 (서운당5로25) ,26.32,064-751-6411,까페
2287,일반음식점,덩,제주특별자치도 제주시 월랑북길 42 (노형동(서중로11)),제주특별자치도 제주시 노형동 1025번지 5호 (서중로11) ,51.48,064-711-9281,호프/통닭
2288,일반음식점,까투리부영점,제주특별자치도 제주시 과원로 39 (연동),제주특별자치도 제주시 연동 1531번지 2호 ,52.34,064-743-9092,통닭(치킨)
2289,일반음식점,오선달,제주특별자치도 제주시 용담로 94 1층 (용담이동),제주특별자치도 제주시 용담이동 359번지 51호 ,70.9,064-755-2677,호프/통닭
2290,일반음식점,솥불판고기,제주특별자치도 제주시 수덕5길 42 1층 (노형동),제주특별자치도 제주시 노형동 2612번지 9호 ,64.65,064-745-8900,식육(숯불구이)
2291,일반음식점,텅꼬치구이서문점,,제주특별자치도 제주시 용담일동 231번지 6호 (용대로4) ,34.75,,호프/통닭
2292,일반음식점,꼬지사께노형점,제주특별자치도 제주시 원노형남1길 25 (노형동),제주특별자치도 제주시 노형동 933번지 15호 ,33.32,,호프/통닭
2293,일반음식점,우원,제주특별자치도 제주시 고마로 129 (일도이동(고마로161)),제주특별자치도 제주시 일도이동 48번지 8호 (고마로161) ,51.2,064-753-1009,한식
2294,일반음식점,만세,제주특별자치도 제주시 오라로 156 (오라일동(오라로188)),제주특별자치도 제주시 오라일동 1083번지 2호 (오라로188) ,85.44,064-702-5775,분식
2295,일반음식점,부어치킨외도점,제주특별자치도 제주시 우정로11길 17 (외도일동),제주특별자치도 제주시 외도일동 532번지 3호 ,36,,통닭(치킨)
2296,일반음식점,통큰막창,제주특별자치도 제주시 성화로 23 (용담이동(성화로30)),제주특별자치도 제주시 용담이동 928번지 10호 (성화로30) ,24,064-743-8464,한식
2297,일반음식점,아랑존,제주특별자치도 제주시 서해안로 486-1 (용담삼동),제주특별자치도 제주시 용담삼동 2364번지 1호 ,131.86,064-743-5453,경양식
2298,일반음식점,제주산촌,제주특별자치도 제주시 일주동로 388-1 (삼양이동(삼사석로416)),제주특별자치도 제주시 삼양이동 2181번지 10호 (삼사석로416) ,44.16,064-755-9244,한식
2299,일반음식점,연동누룽지,제주특별자치도 제주시 과원북4길 86-1 (연동),제주특별자치도 제주시 연동 1481번지 5호 ,97.96,064-746-4986,한식
2300,일반음식점,노형점다훈,제주특별자치도 제주시 월랑로 22 1층 (노형동),제주특별자치도 제주시 노형동 1065번지 1호 ,318.45,064-744-2004,한식
2301,일반음식점,미스터세븐,제주특별자치도 제주시 선사로 31 (삼양이동),제주특별자치도 제주시 삼양이동 2113번지 3호 ,82.24,064-755-9864,호프/통닭
2302,일반음식점,까투리도남점,제주특별자치도 제주시 도남로 88 (도남동),제주특별자치도 제주시 도남동 58번지 5호 ,52.44,064-725-1342,호프/통닭
2303,일반음식점,스위티,제주특별자치도 제주시 다랑곶길 29 (노형동대성맨션 106호(다랑굿로43)),제주특별자치도 제주시 노형동 1275번지 9호 대성맨션 106호(다랑굿로43) ,90.38,064-749-1006,호프/통닭
2304,일반음식점,고니노형점,제주특별자치도 제주시 다랑곶4길 2 (노형동(다랑굿5로4)),제주특별자치도 제주시 노형동 1295번지 11호 (다랑굿5로4) ,73.44,,한식
2305,일반음식점,부가네얼큰이,제주특별자치도 제주시 도남로 27 (도남동),제주특별자치도 제주시 도남동 917번지 24호 ,92.4,,한식
2306,일반음식점,푸주옥,제주특별자치도 제주시 오라로 140 (오라일동),제주특별자치도 제주시 오라일동 1014번지 3호 ,335.14,064-727-8888,한식
2307,일반음식점,칠공팔공추억,제주특별자치도 제주시 다랑곶길 27 (노형동),제주특별자치도 제주시 노형동 1276번지 11호 ,61.96,,한식
2308,일반음식점,본전수산,제주특별자치도 제주시 제원길 7 (연동),제주특별자치도 제주시 연동 261번지 53호 ,193.02,064-745-0555,회집
2309,일반음식점,추억의쉘부르,제주특별자치도 제주시 연북로 74 (연동세화빌딩2층 201호(연북로 74)),제주특별자치도 제주시 연동 1371번지 3호 세화빌딩2층 201호(연북로 74) ,148.5,064-743-8961,까페
2310,일반음식점,낙동생오리,제주특별자치도 제주시 연미2길 23 (오라삼동(연미1로42)),제주특별자치도 제주시 오라삼동 2804번지 6호 (연미1로42) ,126.65,064-743-5420,식육(숯불구이)
2311,일반음식점,인스,제주특별자치도 제주시 과원북4길 95 2층 (연동),제주특별자치도 제주시 연동 1486번지 3호 ,237.94,064-711-7148,까페
2312,일반음식점,춘풍,제주특별자치도 제주시 화남로 47 (화북일동),제주특별자치도 제주시 화북일동 2131번지 6호 ,40,064-723-3320,한식
2313,일반음식점,서울풍미탑동점,,제주특별자치도 제주시 삼도이동 1192번지 13호 (탑동로35) ,68.15,064-752-2324,한식
2314,일반음식점,경기부대찌개전문점,제주특별자치도 제주시 중앙로12길 1 (이도일동(복음길3)),제주특별자치도 제주시 이도일동 1403번지 2호 (복음길3) ,36,064-758-0696,한식
2315,일반음식점,계구리,제주특별자치도 제주시 해안마을북길 9 (해안동),제주특별자치도 제주시 해안동 2349번지 ,106.55,064-747-7507,탕류(보신용)
2316,일반음식점,순화,제주특별자치도 제주시 원노형8길 26 (노형동(정동산1로36)),제주특별자치도 제주시 노형동 934번지 18호 (정동산1로36) ,9.9,064-742-2075,분식
2317,일반음식점,마니주,제주특별자치도 제주시 서해안로 248 (도두일동),제주특별자치도 제주시 도두일동 1688번지 9호 ,268.2,064-743-0721,회집
2318,일반음식점,봉이돈선달,제주특별자치도 제주시 남성로11길 4 1층 (용담일동),제주특별자치도 제주시 용담일동 251번지 8호 ,94.38,064-756-9797,식육(숯불구이)
2319,일반음식점,클라우드배이,제주특별자치도 제주시 명림로 575-107 (회천동 고객센타1층104호),제주특별자치도 제주시 회천동 3번지 16호 고객센타1층104호 ,279.6,064-725-9000,까페
2320,일반음식점,괸당네파전,제주특별자치도 제주시 동광로6길 13 (이도이동),제주특별자치도 제주시 이도이동 1175번지 15호 ,67.44,,정종/대포집/소주방
2321,일반음식점,프라이드프라이드,제주특별자치도 제주시 진남로6길 11 (화북일동),제주특별자치도 제주시 화북일동 1982번지 8호 ,91.22,064-723-2688,통닭(치킨)
2322,일반음식점,전주콩나루콩나물국밥신제주점,제주특별자치도 제주시 신대로10길 16 (연동),제주특별자치도 제주시 연동 291번지 117호 ,122.3,064-747-1920,한식
2323,일반음식점,소랑오름,제주특별자치도 제주시 명림로 575-107 (회천동),제주특별자치도 제주시 회천동 3번지 16호 고객센타201~203 ,907.46,064-725-9000,한식
2324,일반음식점,다랑시,제주특별자치도 제주시 신산로 52 (일도이동(신산로2)),제주특별자치도 제주시 일도이동 1032번지 2호 (신산로2) ,89.18,,한식
2325,일반음식점,영자이모네밥상,제주특별자치도 제주시 삼무로 11-1 (연동),제주특별자치도 제주시 연동 250번지 4호 ,44.1,064-713-9929,한식
2326,일반음식점,공육사포차,제주특별자치도 제주시 은남3길 34 (연동),제주특별자치도 제주시 연동 283번지 35호 ,22.26,,호프/통닭
2327,일반음식점,정진,제주특별자치도 제주시 평전길 25 (삼도일동(평전로39)),제주특별자치도 제주시 삼도일동 524번지 7호 (평전로39) ,80.75,,식육(숯불구이)
2328,일반음식점,산들,제주특별자치도 제주시 신산로 109 (일도이동(신산로2)),제주특별자치도 제주시 일도이동 362번지 22호 (신산로2) ,49.4,064-751-1254,분식
2329,일반음식점,아지바라대학동점,제주특별자치도 제주시 용담로 50 (용담이동(대교로113)),제주특별자치도 제주시 용담이동 594번지 4호 (대교로113) ,42,,호프/통닭
2330,일반음식점,탐라통닭용담점,제주특별자치도 제주시 용담로 50 (용담이동),제주특별자치도 제주시 용담이동 594번지 4호 ,54.46,,한식
2331,일반음식점,한라샘,제주특별자치도 제주시 한라대학로 77 (노형동(한라대학로83)),제주특별자치도 제주시 노형동 759번지 1호 (한라대학로83) ,67.56,064-743-5101,한식
2332,일반음식점,겐짱야,제주특별자치도 제주시 한라대학로 72 (노형동),제주특별자치도 제주시 노형동 1554번지 ,38.02,,한식
2333,일반음식점,김명자굴국밥,제주특별자치도 제주시 연북로 168 (연동),제주특별자치도 제주시 연동 456번지 ,189.64,064-747-0320,한식
2334,일반음식점,제주돼지더드림,제주특별자치도 제주시 광양13길 11 (이도이동),제주특별자치도 제주시 이도이동 1179번지 22호 ,113.81,,식육(숯불구이)
2335,일반음식점,신농,제주특별자치도 제주시 과원로 39 (연동),제주특별자치도 제주시 연동 1531번지 2호 ,66,064-712-4165,한식
2336,일반음식점,동승호,제주특별자치도 제주시 신성로7길 16 (도남동),제주특별자치도 제주시 도남동 922번지 13호 ,118.79,064-721-8254,회집
2337,일반음식점,술래포차,제주특별자치도 제주시 동광로13길 1 (일도이동(북천3로3)),제주특별자치도 제주시 일도이동 362번지 16호 (북천3로3) ,52.2,064-755-2347,호프/통닭
2338,일반음식점,한솔,제주특별자치도 제주시 고마로13길 32 (일도이동(인화북4로63)),제주특별자치도 제주시 일도이동 323번지 23호 (인화북4로63) ,31.15,064-724-5522,한식
2339,일반음식점,케이현주,제주특별자치도 제주시 신성로 44 101호 (도남동 주현빌라),제주특별자치도 제주시 도남동 47번지 9호 101호,111.6,064-759-3579,기타
2340,일반음식점,안채,제주특별자치도 제주시 전농로 107-1 (삼도이동),제주특별자치도 제주시 삼도이동 300번지 15호 외1필지 ,124.31,064-726-2518,호프/통닭
2341,일반음식점,텔미,제주특별자치도 제주시 삼무로3길 지하 46-1 (연동),제주특별자치도 제주시 연동 271번지 10호 (지하1층) ,111.22,064-748-5588,까페
2342,일반음식점,리기,제주특별자치도 제주시 신광로 21 (연동),제주특별자치도 제주시 연동 271번지 6호 ,113.36,064-743-2591,까페
2343,일반음식점,억소리갈비,제주특별자치도 제주시 용화로 36 (용담이동),제주특별자치도 제주시 용담이동 628번지 2호 ,80.3,064-712-9400,식육(숯불구이)
2344,일반음식점,레카소,제주특별자치도 제주시 우정로13길 5 (외도일동),제주특별자치도 제주시 외도일동 551번지 1호 ,76.83,064-713-3588,호프/통닭
2345,일반음식점,대학로참,제주특별자치도 제주시 서광로32길 26 (이도이동),제주특별자치도 제주시 이도이동 1766번지 13호 ,115.36,064-758-0208,식육(숯불구이)
2346,일반음식점,친구야가자,제주특별자치도 제주시 남성로 52 (용담일동),제주특별자치도 제주시 용담일동 266번지 3호 ,41.85,064-721-7779,호프/통닭
2347,일반음식점,일오삼삼,제주특별자치도 제주시 도남로 74 (도남동(도남12로1)),제주특별자치도 제주시 도남동 57번지 12호 (도남12로1) ,13.3,064-724-5133,한식
2348,일반음식점,더후라잉,제주특별자치도 제주시 중앙로24길 20 (삼도이동),제주특별자치도 제주시 삼도이동 1238번지 8호 ,42.55,064-751-5588,한식
2349,일반음식점,산지로,제주특별자치도 제주시 정존15길 27 (노형동),제주특별자치도 제주시 노형동 1062번지 11호 ,146.28,064-747-1889,한식
2350,일반음식점,순정마초,제주특별자치도 제주시 서광로32길 26 2층 (이도이동),제주특별자치도 제주시 이도이동 1766번지 13호 2층 ,97.69,070-4548-0925,호프/통닭
2351,일반음식점,돼지똥꼬딸년이다처먹은집,제주특별자치도 제주시 도남로7길 39 (도남동),제주특별자치도 제주시 도남동 921번지 16호 ,41.26,064-727-1253,한식
2352,일반음식점,맨하탄관광호텔구내,제주특별자치도 제주시 도령로 66 (연동중2층(도령로147)),제주특별자치도 제주시 연동 251번지 29호 중2층(도령로147) ,98.91,064-742-7991,한식
2353,일반음식점,돈미가,제주특별자치도 제주시 다랑곶길 13 (노형동),제주특별자치도 제주시 노형동 1278번지 10호 ,64.89,064-745-7278,한식
2354,일반음식점,상하이시청점,제주특별자치도 제주시 신성로13길 5 2층 (이도이동),제주특별자치도 제주시 이도이동 1772번지 11호 한라빌딩 ,153.81,,호프/통닭
2355,일반음식점,리치에버,제주특별자치도 제주시 용화로 41 (용담이동),제주특별자치도 제주시 용담이동 616번지 71호 ,61.89,064-742-2739,까페
2356,일반음식점,피쉬엔그릴투제주특별자치도 제주시청점,제주특별자치도 제주시 신성로13길 16 (이도이동),제주특별자치도 제주시 이도이동 1767번지 32호 ,309.86,064-796-2319,다방
2357,일반음식점,카사베라,제주특별자치도 제주시 노연로 101 (연동),제주특별자치도 제주시 연동 273번지 69호 ,229.13,064-744-1772,까페
2358,일반음식점,만삼계탕,제주특별자치도 제주시 동광로6길 17 1층 (이도이동),제주특별자치도 제주시 이도이동 1148번지 3호 ,64.6,064-751-9222,호프/통닭
2359,일반음식점,황재돈,제주특별자치도 제주시 우정로13길 5 (외도일동102호(우정동6로5)),제주특별자치도 제주시 외도일동 551번지 1호 102호(우정동6로5) ,126,064-743-1101,한식
2360,일반음식점,어하영,제주특별자치도 제주시 임항로 266 102호 (건입동장원마리나아파트),제주특별자치도 제주시 건입동 1037번지 6호 장원마리나아파트 102호,83.15,064-724-1089,한식
2361,일반음식점,큰가름본점,제주특별자치도 제주시 도남로 65 101호 (도남동),제주특별자치도 제주시 도남동 83번지 12호 외1필지 101호,177.75,064-751-8959,탕류(보신용)
2362,일반음식점,홍길동전,제주특별자치도 제주시 월랑로4길 35 (노형동),제주특별자치도 제주시 노형동 1271번지 10호 ,33,,호프/통닭
2363,일반음식점,굴이야기,제주특별자치도 제주시 원노형남1길 17 (노형동(송천1로90)),제주특별자치도 제주시 노형동 929번지 15호 (송천1로90) ,78.56,064-743-8592,한식
2364,일반음식점,휴가람,제주특별자치도 제주시 천수로 16 (이도이동),제주특별자치도 제주시 이도이동 362번지 3호 ,59.75,,호프/통닭
2365,일반음식점,북제주식당,제주특별자치도 제주시 한림읍 한림북동길 11,제주특별자치도 제주시 한림읍 한림리 1314번지 38호 ,21.32,064-796-1803,한식
2366,일반음식점,동환,제주특별자치도 제주시 한경면 노을해안로 1146,제주특별자치도 제주시 한경면 고산리 3615번지 6호 ,119.4,064-772-2955,한식
2367,일반음식점,에뜨왈한정식,제주특별자치도 제주시 애월읍 중엄3길 50,제주특별자치도 제주시 애월읍 신엄리 920번지 ,90.72,064-712-2266,한식
2368,일반음식점,형제종합식당,제주특별자치도 제주시 조천읍 신북로 505,제주특별자치도 제주시 조천읍 함덕리 1252번지 5호 ,37.44,064-784-1818,한식
2369,일반음식점,벚나무집,제주특별자치도 제주시 애월읍 광성로 348 1층,제주특별자치도 제주시 애월읍 광령리 53번지 3호 ,94.4,,한식
2370,일반음식점,한양뼈감탕,제주특별자치도 제주시 애월읍 하귀로 38,제주특별자치도 제주시 애월읍 하귀2리 1909번지 6호 ,106.29,,한식
2371,일반음식점,이호숯불갈비,제주특별자치도 제주시 구좌읍 세화2길 4,제주특별자치도 제주시 구좌읍 세화리 1539번지 1호 ,99.17,064-783-9728,한식
2372,일반음식점,김창민씨네식당,제주특별자치도 제주시 한림읍 한림로 591 1층,제주특별자치도 제주시 한림읍 한림리 1475번지 3호 ,77.25,064-796-7774,식육(숯불구이)
2373,일반음식점,오븐쿡한림점,제주특별자치도 제주시 한림읍 한림중앙로 36,제주특별자치도 제주시 한림읍 한림리 942번지 7호 ,97.13,064-796-4924,호프/통닭
2374,일반음식점,안동본가국밥,제주특별자치도 제주시 한림읍 사가동길 2,제주특별자치도 제주시 한림읍 한림리 1346번지 8호 (1층) ,150.12,064-796-3565,한식
2375,일반음식점,함덕골목,제주특별자치도 제주시 조천읍 함덕7길 6-14,제주특별자치도 제주시 조천읍 함덕리 1041번지 16호 ,96.92,064-784-5511,한식
2376,일반음식점,황토마을식당,제주특별자치도 제주시 조천읍 번영로 1629,제주특별자치도 제주시 조천읍 선흘리 1925번지 2호 ,60.79,064-782-9000,한식
2377,일반음식점,소망식당,제주특별자치도 제주시 조천읍 신북로 39,제주특별자치도 제주시 조천읍 신촌리 1823번지 5호 ,0,064-783-9489,한식
2378,일반음식점,제주돔베막국수,제주특별자치도 제주시 한경면 고산로 35,제주특별자치도 제주시 한경면 고산리 2749번지 3호 ,59.25,,한식
2379,일반음식점,금수강산바다장어,제주특별자치도 제주시 한림읍 사가동길 17,제주특별자치도 제주시 한림읍 한림리 1328번지 46호 (1층) ,120.77,064-796-9334,한식
2380,일반음식점,창흥영양탕,제주특별자치도 제주시 조천읍 함덕16길 15,제주특별자치도 제주시 조천읍 함덕리 992번지 ,46,064-783-8508,한식
2381,일반음식점,토계정,제주특별자치도 제주시 조천읍 교래3길 1,제주특별자치도 제주시 조천읍 교래리 524번지 ,134.88,064-783-2297,한식
2382,일반음식점,뼈대감,제주특별자치도 제주시 한림읍 한림중앙로 61-2,제주특별자치도 제주시 한림읍 한림리 916번지 10호 ,85.45,064-796-3356,한식
2383,일반음식점,대월회관,,제주특별자치도 제주시 조천읍 함덕리 955-2번지 ,334.48,064-784-2208,한식
