"업소명",업종명,서비스대상구분,외국어안내서비스,소재지도로명주소,소재지지번주소,전화번호,객실수,부대시설,주차장보유여부,결제방법,홈페이지주소,주변관광정보,위도,경도,데이터기준일자
"불란디하우스",민박,내국인+외국인,,제주특별자치도 제주시 한경면 한장서길 48-30,,,1,,,,,,33.28657077,126.1673184,2017-08-18
"제주게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 한경면 일주서로 4549,,,2,,,,,,33.36588149,126.2013729,2017-08-18
"노을해안길게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 한경면 노을해안로 1171,,,5,,,,,,33.30845823,126.1659073,2017-08-18
"제주애단비",민박,내국인+외국인,,제주특별자치도 제주시 한경면 산양4길 27-2,,,1,,,,,,33.29200353,126.233762,2017-08-18
"우주오리",민박,내국인+외국인,,제주특별자치도 제주시 한경면 저지12길 62-14,,,2,,,,,,33.33791718,126.2631002,2017-08-18
"용수길 114",민박,내국인+외국인,,제주특별자치도 제주시 한경면 용수길 114,,,2,,,,,,33.32811421,126.1711198,2017-08-18
"미르의 샘",민박,내국인+외국인,,제주특별자치도 제주시 한경면 용금로 3-6,,,2,,,,,,33.33438001,126.1828319,2017-08-18
shiro 1(시로 1),민박,내국인+외국인,,제주특별자치도 제주시 한경면 신창상동길 20-1. 1호,,,1,,,,,,33.34964574,126.1878095,2017-08-18
"본보야지(Bon Voyage)",민박,내국인+외국인,,제주특별자치도 제주시 한경면 용수길 145,,,2,,,,,,33.33062244,126.1728971,2017-08-18
"간지박스",민박,내국인+외국인,,제주특별자치도 제주시 한경면 용당길 51,,,2,,,,,,33.3327498,126.1766968,2017-08-18
"풍차와노을",민박,내국인+외국인,,제주특별자치도 제주시 한경면 한경해안로 474-26(B동),,,2,,,,,,33.34040199,126.1727881,2017-08-18
"효도민박",민박,내국인+외국인,,제주특별자치도 제주시 한경면 복호로 30,,,3,,,,,,33.34498545,126.1940957,2017-08-18
"하바나블루스",민박,내국인+외국인,,제주특별자치도 제주시 한경면 한경해안로 474-26(D동) 신창리 1371-15,,,4,,,,,,,,2017-08-18
"배배게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 한경면 신창1길 20,,,3,,,,,,33.34730559,126.180914,2017-08-18
"곰아저씨네",민박,내국인+외국인,,제주특별자치도 제주시 한경면 두모1길 16,,,1,,,,,,33.35059715,126.1817184,2017-08-18
"와랑게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 한경면 주전길 92-17,,,3,,,,,,33.33553052,126.1741818,2017-08-18
"두모리이수사",민박,내국인+외국인,,제주특별자치도 제주시 한경면 두신로 112,,,1,,,,,,33.3525863,126.1848585,2017-08-18
"블랙스톤펜션",민박,내국인+외국인,,제주특별자치도 제주시 한경면 판포4길 27,,,1,,,,,,33.36286106,126.2022728,2017-08-18
"차귀도화이트펜션D",민박,내국인+외국인,,제주특별자치도 제주시 한경면 노을해안로 1174-1,,,3,,,,,,33.30794898,126.165549,2017-08-18
"차귀도화이트펜션C",민박,내국인+외국인,,제주특별자치도 제주시 한경면 노을해안로 1174-1,,,3,,,,,,33.30794898,126.165549,2017-08-18
"피스테라 클래식",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 신촌5길 50,,,2,,,,,,33.53786306,126.6215383,2017-08-18
"다몰II",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 함덕27길 32-8,,,5,,,,,,33.54238577,126.6725208,2017-08-18
"다몰",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 함덕27길 32-6,,,6,,,,,,33.54233368,126.6726231,2017-08-18
"함덕은서네",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 신북로 656,,,3,,,,,,33.54058972,126.6795556,2017-08-18
"해품달",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 선흘남2길 67-6,,,2,,,,,,33.50122196,126.6988199,2017-08-18
"오드리하우스",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 대흘리 1075-36,,,4,,,,,,,,2017-08-18
"뮤즈",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 함대로 75-12,,,3,,,,,,33.53744968,126.6595064,2017-08-18
"아꼬떼하우스",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 선교로 548,,,1,,,,,,33.45721432,126.710899,2017-08-18
"뭉클",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 북촌북길 17-1 제가동호,,,5,,,,,,33.54817693,126.6905479,2017-08-18
"캡틴제주",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 신촌3길 37,,,2,,,,,,33.53644363,126.6186263,2017-08-18
"무거",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 조함해안로 356 2.3층,,,3,,,,,,33.54911511,126.655184,2017-08-18
"우영밭민박",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 교래4길 10,,,1,,,,,,33.42569918,126.6733138,2017-08-18
"뭉클2",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 북촌북길 17-1 제다동호,,,5,,,,,,33.54817693,126.6905479,2017-08-18
"준이네민박",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 와흘전2길 51-36,,,2,,,,,,33.46927818,126.6407244,2017-08-18
"니캉내캉하우스",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 함덕서3길 10-6,,,1,,,,,,33.53876253,126.6619129,2017-08-18
"신촌해안길하우스",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 신촌북3길 53,,,2,,,,,,33.53773307,126.614281,2017-08-18
"소박한바당쉼터",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 북촌북길 45-8,,,5,,,,,,33.55077704,126.6909676,2017-08-18
"제주베스트힐",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 남조로 2109-38. B동 2층,,,1,,,,,,33.45420302,126.6574687,2017-08-18
"하루방민박",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 신북로 165,,,3,,,,,,33.53543319,126.6311576,2017-08-18
"제주신촌돌집독채민박",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 신촌5길 30,,,1,,,,,,33.53669424,126.6208618,2017-08-18
"함덕 아지트 게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 신북로 643,,,5,,,,,,33.54073608,126.678136,2017-08-18
"바다파파",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 신촌10길 7,,,4,,,,,,33.53512776,126.6257697,2017-08-18
"나무와바다",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 함덕27길 9,,,4,,,,,,33.54072133,126.674125,2017-08-18
"바람하우스",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 신촌5길 46-2,,,3,,,,,,33.53774048,126.621450,2017-08-18
"제주아이",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 와흘전1길 69-14,,,2,,,,,,33.46935563,126.6385635,2017-08-18
"허니문",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 조함해안로 329-1(B동),,,7,,,,,,33.55035563,126.652804,2017-08-18
"팜비치",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 조함해안로 329-1(A동),,,7,,,,,,33.55035563,126.652804,2017-08-18
"비안",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 중산간동로 1197-16,,,4,,,,,,33.50990038,126.6981579,2017-08-18
"골체오름",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 번영로 1648-41,,,2,,,,,,33.45139338,126.7056061,2017-08-18
"베리안",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 함덕29길 25-14,,,1,,,,,,33.54182259,126.6744882,2017-08-18
"제주안뜰",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 조함해안로 38-14,,,3,,,,,,33.54032513,126.6375879,2017-08-18
"꿈꾸는정원",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 함덕서4길 47,,,1,,,,,,33.5389661,126.6653322,2017-08-18
GUROOMI,민박,내국인+외국인,,제주특별자치도 제주시 조천읍 함덕7길 6-4,,,1,,,,,,33.54396951,126.6614385,2017-08-18
"온새미로",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 곱은달남길 158,,,1,,,,,,33.4973712,126.6711387,2017-08-18
"마빈",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 일주동로 1532,,,3,,,,,,33.54898814,126.6974864,2017-08-18
"엄마네 민박",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 북촌서길 10,,,1,,,,,,33.54801656,126.6857572,2017-08-18
"와흘리 민박",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 중산간동로 451,,,6,,,,,,33.50334457,126.635374,2017-08-18
"시바민박",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 신흥로1길 62-10,,,1,,,,,,33.54878743,126.6484151,2017-08-18
"블루네집",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 함덕로4,,,2,,,,,,33.54057668,126.6740145,2017-08-18
"선양빌리지돔민박",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 와흘로 350,,,3,,,,,,33.47469511,126.6438241,2017-08-18
"나뛰르 독채 펜션",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 선교로 550,,,3,,,,,,33.45705655,126.7107991,2017-08-18
"힐삭",민박,내국인+외국인,,제주특별자치도 제주시 조천북6길 58,,,2,,,,,,33.53956937,126.6408727,2017-08-18
"대명한옥민박",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 대흘5길 11-11,,,2,,,,,,33.49801896,126.6612438,2017-08-18
"곶자왈거문오름",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 선교로 371-10,,,7,,,,,,33.4720906,126.7094683,2017-08-18
"숨비소리",민박,내국인+외국인,,제주특별자치도 제주시 조천읍 대흘6길 71-7,,,2,,,,,,33.49081894,126.6652313,2017-08-18
"스카이민박",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 덕행로 274-1 나동,,,5,,,,,,33.52588687,126.7884881,2017-08-18
Maroon stay,민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 세송로 74,,,4,,,,,,33.51297421,126.8563036,2017-08-18
"휴",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 구좌로 116-3 (주1 1.2층),,,3,,,,,,33.52049649,126.8632653,2017-08-18
"하도리안",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 해맞이해안로 1788 C동,,,1,,,,,,33.52600416,126.8926932,2017-08-18
"선연채",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 구좌해안로 36,,,3,,,,,,33.55578163,126.7192743,2017-08-18
"쉬영목",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 일주동로 2586 (2층),,,1,,,,,,33.54595794,126.8037038,2017-08-18
"하도정",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 하도리 3073,,,2,,,,,,33.52901754,126.8763202,2017-08-18
"하도 이스케이프",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 하도동길 6-2,,,1,,,,,,33.52223277,126.8840473,2017-08-18
"자멍",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 해맞이해안로 2286-2 (제2동),,,7,,,,,,33.49711014,126.9102642,2017-08-18
"말마랑하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 하도15길 107-9 (주1),,,2,,,,,,33.5113039,126.8931798,2017-08-18
"제주에서 돌고래를 만난다면",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 해맞이해안로 1566 (A동),,,2,,,,,,33.5284462,126.8707682,2017-08-18
"나무아래",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 송당리 1859 (신주소없음),,,1,,,,,,,,2017-08-18
"보리게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 송당6길 38-1 (제1동),,,1,,,,,,33.468288,126.7837886,2017-08-18
"메르시하도",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 하도7길 44,,,1,,,,,,33.51585714,126.8881277,2017-08-18
"두근두근 청년집합소",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 세종로 285,,,5,,,,,,33.5008239,126.8836144,2017-08-18
"동네 게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 해맞이해안로 1156-1 (안채),,,3,,,,,,33.53564675,126.8397802,2017-08-18
"밭담사이",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 종달로1길 115-1,,,3,,,,,,33.49616723,126.9075523,2017-08-18
"베또롱",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 행원로 35-7,,,2,,,,,,33.55196207,126.7992194,2017-08-18
oh 세화,민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 세송로 8-11 (다동),,,2,,,,,,33.51696034,126.8596624,2017-08-18
"하도리 보통날",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 하도13길 33,,,1,,,,,,,,2017-08-18
"바농 게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 김녕로17길 29 (2층),,,2,,,,,,33.55787347,126.753961,2017-08-18
"다올제",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 하도7길 9 (주1),,,1,,,,,,33.51615744,126.8853373,2017-08-18
"드보라 게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 해맞이해안로 1588-10,,,5,,,,,,33.52785349,126.8734159,2017-08-18
"로제하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 종달로7길 21-17 (부1),,,1,,,,,,33.4924511,126.897939,2017-08-18
"해일월",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 김녕항3길 26-29,,,1,,,,,,33.55809316,126.7457525,2017-08-18
"하도리 일번지",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 해맞이해안로 1860,,,2,,,,,,33.52175421,126.8985938,2017-08-18
"작은집 요기",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 평대10길 40,,,1,,,,,,33.52315251,126.8452856,2017-08-18
"라비에벨",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 문주란로1길 74-26 (가동),,,3,,,,,,33.52535111,126.8854098,2017-08-18
"드 헤브",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 문주란로1길 74-24 (나동),,,3,,,,,,33.52535079,126.885234,2017-08-18
"달다하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 김녕로19길 63 (다동),,,1,,,,,,33.55630979,126.7488066,2017-08-18
"세화민박",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 김녕로17길 28-1,,,7,,,,,,33.55758602,126.7540725,2017-08-18
"송당나무",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 중산간동로 2260 (주1),,,2,,,,,,33.4713014,126.7841843,2017-08-18
"탱자싸롱민박",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 세화11길 12 (주1),,,3,,,,,,33.52200001,126.8610996,2017-08-18
"모두의집",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 평대13길 25-1 (주1),,,1,,,,,,33.52536272,126.8522521,2017-08-18
"더 하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 해맞이해안로 2058(1층),,,1,,,,,,33.509521,126.902705,2017-08-18
"춘희",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 한동북1길 15-2 (주1),,,2,,,,,,33.54048536,126.8273359,2017-08-18
"제주안",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 김녕로 79-2 (3층. 옥탑),,,2,,,,,,33.55446516,126.7467327,2017-08-18
"해녀윤자",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 하도13길 62-8 (주2),,,1,,,,,,33.51013652,126.8924788,2017-08-18
"자넷 앤 캐시",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 평대9길 20-1 (2층),,,2,,,,,,33.52575879,126.8505941,2017-08-18
"빌레못 게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 월정1길 82-4 (2층),,,2,,,,,,33.55820411,126.7935653,2017-08-18
"고래고래 게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 김녕항3길 32-4,,,1,,,,,,33.55748761,126.7452958,2017-08-18
"청춘 스테이",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 상도북2길 13,,,1,,,,,,33.52001701,126.8638814,2017-08-18
"너를 만나 행복해",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 면수2길 7,,,1,,,,,,33.52203639,126.8684412,2017-08-18
"별별.당근이야기",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 평대7길 40-31,,,2,,,,,,33.53138715,126.8453756,2017-08-18
"풍선비행기군단",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 평대10길 45-46,,,7,,,,,,33.52104297,126.8460246,2017-08-18
"맘앤도그",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 송당4길 5,,,2,,,,,,33.47089575,126.7845037,2017-08-18
"마리의 당근밭",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 하도9길 5,,,4,,,,,,33.5151018,126.8855994,2017-08-18
"미쓰홍당무하우스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 평대4길 20-1,,,3,,,,,,33.52925378,126.8366871,2017-08-18
"제주도푸른바다 5호",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 별방길 109,,,2,,,,,,33.52792981,126.878590,2017-08-18
"준민박",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 일주동로 3031,,,6,,,,,,33.52760918,126.8450891,2017-08-18
"제주파도소리와 돌공원",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 해맞이해안로 1956,,,5,,,,,,33.51456464,126.900029,2017-08-18
"성민민박",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 김녕로 154,,,2,,,,,,33.55545868,126.754309,2017-08-18
"오션스카이",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 덕행로 450-15,,,3,,,,,,33.51271007,126.7787346,2017-08-18
"요셉나무",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 행원로 20-11,,,2,,,,,,33.55004201,126.7986804,2017-08-18
"보라보라",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 별방길 109 (112호),,,3,,,,,,33.52792981,126.878590,2017-08-18
"신제푸",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 별방길 109 (109호),,,2,,,,,,33.52792981,126.878590,2017-08-18
"행원민박",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 행원로9길 39,,,3,,,,,,33.55600315,126.8100375,2017-08-18
"제주도 푸른민박4",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 별방길 109 (101호),,,2,,,,,,33.52792981,126.878590,2017-08-18
"제주도 푸른바다Ⅱ민박(지엘민박)",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 별방길 109 (119호),,,2,,,,,,33.52792981,126.878590,2017-08-18
"제주도 푸른바다민박",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 별방길 109 (121호),,,2,,,,,,33.52792981,126.878590,2017-08-18
"세원민박",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 구좌로 33-13,,,6,,,,,,33.52401476,126.8546833,2017-08-18
"오아시스",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 해맞이해안로 54,,,3,,,,,,33.55934476,126.7633173,2017-08-18
"봉림 민박",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 해맞이해안로 432,,,3,,,,,,33.55791981,126.7945056,2017-08-18
"세화 민박",민박,내국인+외국인,,제주특별자치도 제주시 구좌읍 세화2길 4-1,,,5,,,,,,33.52273098,126.8552364,2017-08-18
"뜨락애 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 곽지서길 31-10,,,2,,,,,,33.44313725,126.3050172,2017-08-18
"뉴라이프애월 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 유수암로 226-87,,,3,,,,,,33.42653277,126.3991049,2017-08-18
"감나무 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 예소길 68-3. 가동,,,1,,,,,,33.46545462,126.4013219,2017-08-18
"더파란 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 구엄남길 36,,,4,,,,,,33.4714023,126.3761861,2017-08-18
"애월향 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 고내로13길 86,,,3,,,,,,33.47061196,126.3481684,2017-08-18
"애월미하스 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 광령2길 55. 1동,,,2,,,,,,33.4538782,126.4320693,2017-08-18
"리치스테이 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 고내로13길 106,,,8,,,,,,33.4724287,126.3488963,2017-08-18
"로즈힐 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 광상로 350. 9동,,,1,,,,,,33.44373913,126.3975308,2017-08-18
Dalkong821 민박,민박,내국인+외국인,,제주특별자치도 제주시 애월읍 유수암평화길. 104호,,,2,,,,,,33.44249282,126.4025358,2017-08-18
"블리스제주 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 부룡수길 66,,,2,,,,,,33.47466838,126.3593269,2017-08-18
VT하가이스케이프 민박,민박,내국인+외국인,,제주특별자치도 제주시 애월읍 하가로 184. 3동,,,1,,,,,,33.45492667,126.3465955,2017-08-18
"봉숙이네바닷가 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 금성1길 32-1,,,1,,,,,,33.44738025,126.3004392,2017-08-18
"미소지음 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 유수암평화길 17-2,,,3,,,,,,33.44089991,126.4039131,2017-08-18
"하녹 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 하광로 181-1,,,1,,,,,,33.47158137,126.4186626,2017-08-18
"후아힌제주풀빌라 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 부룡수길 38-14,,,2,,,,,,33.47432709,126.3560346,2017-08-18
"와썹게스트하우스 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 곽지1길 30. 제1호,,,2,,,,,,33.44885506,126.3041165,2017-08-18
"풍경게스트하우스 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 신엄안2길 58,,,5,,,,,,33.47765149,126.3701523,2017-08-18
"엔게디하우스 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 애월해안로 442,,,5,,,,,,33.47584391,126.3535367,2017-08-18
"소낭채 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 상귀장수물길 58-25,,,2,,,,,,33.44971945,126.4023235,2017-08-18
"스테이퐁낭 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 하광로 483,,,3,,,,,,33.44796676,126.4295847,2017-08-18
"오는정 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 구엄길 78-3,,,3,,,,,,33.48153421,126.3764904,2017-08-18
"포구 민박",민박,내국인+외국인,,제주특별자치도 제주시 애월읍 하귀12길 20-1,,,2,,,,,,33.48632417,126.4089279,2017-08-18
"차귀도화이트펜션A",민박,내국인+외국인,,제주특별자치도 제주시 한경면 노을해안로 1174-1,,,6,,,,,,33.30794898,126.165549,2017-08-18
"꽃씨네 돌담집",민박,내국인+외국인,,제주특별자치도 제주시 한경면 고산남5길 17,,,1,,,,,,33.30313804,126.1904618,2017-08-18
"협재엉클",민박,내국인+외국인,,제주특별자치도 제주시 한경면 판포중2길 4,,,1,,,,,,33.35876624,126.2012951,2017-08-18
"응",민박,내국인+외국인,,제주특별자치도 제주시 한경면 용금로 758-1,,,1,,,,,,33.3345701,126.2569979,2017-08-18
"플래닛홈(가동)",민박,내국인+외국인,,제주특별자치도 제주시 한경면 중산간서로 3444-10,,,2,,,,,,33.31672622,126.242845,2017-08-18
"한그루게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 한경면 주전길 92-54,,,1,,,,,,33.33717388,126.1714848,2017-08-18
"친정집민박",민박,내국인+외국인,,제주특별자치도 제주시 한경면 고산로 50,,,1,,,,,,33.30553824,126.1793694,2017-08-18
"바람개비",민박,내국인+외국인,,제주특별자치도 제주시 한경면 한경해안로 474-28,,,1,,,,,,33.34034551,126.1732611,2017-08-18
"바언제주(바람의언덕)",민박,내국인+외국인,,제주특별자치도 제주시 한경면 녹차분재로 827-53,,,2,,,,,,33.32898981,126.2431182,2017-08-18
"제이게스트하우스",민박,내국인+외국인,,제주특별자치도 제주시 한경면 신창3길 16,,,5,,,,,,33.34869495,126.1813005,2017-08-18
"고장난벽시계",민박,내국인+외국인,,제주특별자치도 제주시 한경면 고산로4길 24,,,2,,,,,,33.30527426,126.1818737,2017-08-18
"수집(돔박수월)",민박,내국인+외국인,,제주특별자치도 제주시 한경면 중산간서로 3153,,,1,,,,,,33.29282655,126.2322186,2017-08-18
"수집(용수보름)",민박,내국인+외국인,,제주특별자치도 제주시 한경면 용수1길 90-1,,,1,,,,,,33.32204597,126.1688067,2017-08-18
"곰곰",민박,내국인+외국인,,제주특별자치도 제주시 한경면 용수1길 101,,,1,,,,,,33.32180996,126.1680148,2017-08-18
"비타민씨 하우스",민박,내국인+외국인,,제주특별자치도 제주시 한경면 한경해안로 448-1,,,1,,,,,,,,2017-08-18
"제주사돈",민박,내국인+외국인,,제주특별자치도 제주시 한경면 고산로 70,,,3,,,,,,33.30713402,126.178468,2017-08-18
"어오내하우스",민박,내국인+외국인,,제주특별자치도 제주시 한경면 중산간서로 3728,,,2,,,,,,33.33659379,126.2583056,2017-08-18
"알로하",민박,내국인+외국인,,제주특별자치도 제주시 한경면 일주서로 4533-19,,,2,,,,,,33.36551398,126.1982935,2017-08-18
"바당정원",민박,내국인+외국인,,제주특별자치도 제주시 한경면 판조로 23(가동),,,1,,,,,,33.36633267,126.2069982,2017-08-18
"다락",민박,내국인+외국인,,제주특별자치도 제주시 한경면 두모11길 56,,,1,,,,,,33.35754694,126.1823273,2017-08-18
"온다",민박,내국인+외국인,,제주특별자치도 제주시 한경면 두모11길 46,,,3,,,,,,33.35719602,126.183500,2017-08-18
"제주애아리",민박,내국인+외국인,,제주특별자치도 제주시 한경면 신창2길 1,,,1,,,,,,33.34691586,126.183217,2017-08-18
"고산예쁜집",민박,내국인+외국인,,제주특별자치도 제주시 한경면 일주서로 3752-1,,,1,,,,,,33.30326563,126.1863537,2017-08-18
vivere 906,민박,내국인+외국인,,제주특별자치도 제주시 한경면 판조로 273-11,,,2,,,,,,33.34847681,126.2200779,2017-08-18
"시로3",민박,내국인+외국인,,제주특별자치도 제주시 한경면 신창상동길 20-1. 3호,,,1,,,,,,33.34964574,126.1878095,2017-08-18
"시로2",민박,내국인+외국인,,제주특별자치도 제주시 한경면 신창상동길 20-1. 2호,,,1,,,,,,33.34964574,126.1878095,2017-08-18
"서쪽하늘 제2호",민박,내국인+외국인,,제주특별자치도 제주시 한경면 한장중길 24-3,,,1,,,,,,33.28922361,126.1662111,2017-08-18
"서쪽하늘 제1호",민박,내국인+외국인,,제주특별자치도 제주시 한경면 한장중길 24-3,,,1,,,,,,33.28922361,126.1662111,2017-08-18
"돌뜨락",민박,내국인+외국인,,제주특별자치도 제주시 한경면 고산로2길 10,,,1,,,,,,33.30288939,126.1805417,2017-08-18
500일의 썸머,민박,내국인+외국인,,제주특별자치도 제주시 한경면 저지12길 60-25,,,5,,,,,,33.33768131,126.2632373,2017-08-18
"느르왓",민박,내국인+외국인,,제주특별자치도 제주시 한경면 고산중길 23,,,2,,,,,,33.3052398,126.1840194,2017-08-18
"에덴통나무빌리지",민박,내국인+외국인,,제주특별자치도 제주시 한경면 명이1길 32,,,1,,,,,,33.32226455,126.2674006,2017-08-18
"지니코티지",민박,내국인+외국인,,제주특별자치도 제주시 한경면 수동1길 15,,,3,,,,,,33.33812716,126.2362089,2017-08-18
"무궁화",민박,내국인+외국인,,제주특별자치도 제주시 한경면 일주서로 4059,,,1,,,,,,33.32872307,126.1810039,2017-08-18
