연번,업종명,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
164,제과점영업,올레,제주특별자치도 제주시 천수로 72 상가동동 105호 (일도이동 신천지아파트),제주특별자치도 제주시 일도이동 47번지 1호 신천지아파트 상가동 105호,47.7,064-758-7348,제과점영업
165,제과점영업,굿도넛,제주특별자치도 제주시 1100로 3348 (노형동),제주특별자치도 제주시 노형동 919번지 ,16.4,,제과점영업
166,제과점영업,빵을굽는사람들3호점,제주특별자치도 제주시 동문로21길 21 (건입동),제주특별자치도 제주시 건입동 1043번지 1호 ,3.3,,제과점영업
167,제과점영업,빵을굽는사람들1호점,제주특별자치도 제주시 승천로 27 (이도이동영산홍주택 109-101),제주특별자치도 제주시 이도이동 405번지 영산홍주택 109-101 ,3.3,,제과점영업
168,제과점영업,빵을굽는사람들5호점,제주특별자치도 제주시 남광로 65 109동 105호 (이도이동혜성무지개타운),제주특별자치도 제주시 이도이동 438번지 혜성무지개타운 109동 105호,3.3,,제과점영업
169,제과점영업,삼화베이커리,,제주특별자치도 제주시 화북이동 .번지 삼화지구준주거지역3블럭4-1로트 ,18,064-751-1142,제과점영업
170,제과점영업,뚜레쥬르노형한라점,제주특별자치도 제주시 진군남4길 7-1 (노형동천마에코피아 B202호 B203호),제주특별자치도 제주시 노형동 682번지 천마에코피아 B202호 B203호 ,92.4,064-726-0085,제과점영업
171,제과점영업,온누리제과,제주특별자치도 제주시 신산로 63-1 (일도이동),제주특별자치도 제주시 일도이동 167번지 10호 ,46.49,064-757-3106,제과점영업
172,제과점영업,오빵구이제주점,제주특별자치도 제주시 연삼로 462 (이도이동(1층)),제주특별자치도 제주시 이도이동 397번지 (1층) ,66,,제과점영업
173,제과점영업,동문올레찐빵,제주특별자치도 제주시 오현길 83 (이도일동),제주특별자치도 제주시 이도일동 1349번지 18호 ,39.7,064-721-6161,제과점영업
174,제과점영업,파리바게뜨동초교점,제주특별자치도 제주시 동문로 64 (일도이동(1층)),제주특별자치도 제주시 일도이동 993번지 3호 (1층) ,92.4,064-753-0512,제과점영업
175,제과점영업,빵을굽는사람들제주본점,제주특별자치도 제주시 연삼로 776 (화북이동(1층)),제주특별자치도 제주시 화북이동 2359번지 1호 (1층) ,85,064-758-7904,제과점영업
176,제과점영업,파리바게뜨한림점,제주특별자치도 제주시 한림읍 한림로 672 ((1층)),제주특별자치도 제주시 한림읍 한림리 1073번지 (1층) ,66,064-796-7581,제과점영업
177,제과점영업,빵을굽는사람들6호점,,제주특별자치도 제주시 삼도이동 1235번지 6호 (1층) ,3.3,064-758-7904,제과점영업
178,제과점영업,빵을굽는사람들8호점,제주특별자치도 제주시 도남로12길 13 (도남동(1층)),제주특별자치도 제주시 도남동 59번지 13호 (1층) ,3.3,064-758-7904,제과점영업
179,제과점영업,빵을굽는사람들11호점,제주특별자치도 제주시 만덕로 27 (건입동외1필지(1층)),제주특별자치도 제주시 건입동 1107번지 9호 외1필지(1층) ,3.3,064-758-7008,제과점영업
180,제과점영업,단아베이커리,제주특별자치도 제주시 번영로 504 (봉개동외2필지(1층)),제주특별자치도 제주시 봉개동 1902번지 외2필지(1층) ,31.19,064-723-0425,제과점영업
181,제과점영업,빵을굽는사람들14호점,제주특별자치도 제주시 오현길 9 지110호 (이도일동신세계아파트),제주특별자치도 제주시 이도일동 1692번지 2호 신세계아파트 지110호,3.3,064-758-7904,제과점영업
182,제과점영업,빵을굽는사람들15호점,제주특별자치도 제주시 서사로 115 (삼도일동(1층)),제주특별자치도 제주시 삼도일동 537번지 15호 (1층) ,3.3,064-758-7904,제과점영업
183,제과점영업,빵을굽는사람들13호점,제주특별자치도 제주시 도련1길 6 (도련일동(1층)),제주특별자치도 제주시 도련일동 1611번지 3호 (1층) ,3.3,064-758-7008,제과점영업
184,제과점영업,뚜레쥬르남녕점,제주특별자치도 제주시 남녕로 32 (연동(1층)),제주특별자치도 제주시 연동 1954번지 4호 (1층) ,69.3,064-745-5545,제과점영업
185,제과점영업,타미나빵집,제주특별자치도 제주시 신설로11길 47 (이도이동),제주특별자치도 제주시 이도이동 1955번지 4호 (1층) ,33.3,064-723-9338,제과점영업
186,제과점영업,빵을굽는사람들20호점,제주특별자치도 제주시 서광로25길 5 (삼도일동(1층)),제주특별자치도 제주시 삼도일동 557번지 21호 (1층) ,3.3,064-758-7904,제과점영업
187,제과점영업,한라산쑥찐빵,제주특별자치도 제주시 신설로7길 57 (이도이동(지하1층)),제주특별자치도 제주시 이도이동 1950번지 1호 (지하1층) ,66,064-758-9908,제과점영업
188,제과점영업,다희연,제주특별자치도 제주시 조천읍 선교로 115-1,제주특별자치도 제주시 조천읍 선흘리 600번지 6호 (1층) ,11.88,064-782-0005,제과점영업
189,제과점영업,빵을굽는사람들21호점,제주특별자치도 제주시 성지로 72 (일도이동),제주특별자치도 제주시 일도이동 1028번지 1호 (1층) ,3.3,064-758-7904,제과점영업
190,제과점영업,김병구과자점,제주특별자치도 제주시 애월읍 하귀로 43-3 105호 (제웅명당아파트),제주특별자치도 제주시 애월읍 하귀2리 1750번지 1호 ,96.21,064-799-5249,제과점영업
191,제과점영업,오션스위츠베이커리,제주특별자치도 제주시 탑동해안로 74 113114호 (삼도이동),제주특별자치도 제주시 삼도이동 1260번지 2호 ,64,064-720-6223,제과점영업
192,제과점영업,단아베이커리1호점,제주특별자치도 제주시 삼봉로 129 (도련일동),제주특별자치도 제주시 도련일동 1731번지 19호 (1층) ,6.6,064-723-0425,제과점영업
193,제과점영업,파리바게뜨한라병원점,제주특별자치도 제주시 도령로 73 107호 (연동),제주특별자치도 제주시 연동 1964번지 3호 107호,169.76,064-746-8204,제과점영업
194,제과점영업,파리바게트동광초교점,제주특별자치도 제주시 연삼로 548 (일도이동),제주특별자치도 제주시 일도이동 74번지 (1층) ,137.03,064-759-8282,제과점영업
195,제과점영업,오라찐빵,제주특별자치도 제주시 중앙로 465 (아라이동),제주특별자치도 제주시 아라이동 1492번지 1호 (1층) ,26.4,064-723-5570,제과점영업
196,제과점영업,파리바게트도남점,제주특별자치도 제주시 도남로 53 (도남동),제주특별자치도 제주시 도남동 922번지 41호 (1층) ,69.94,064-756-2820,제과점영업
197,제과점영업,뚜레쥬르제주탐라점,제주특별자치도 제주시 승천로 79 지하층 (아라이동),제주특별자치도 제주시 아라이동 3003번지 9호 지하층 ,96.34,064-753-0459,제과점영업
198,제과점영업,르에스까르고,제주특별자치도 제주시 월랑로2길 29 (노형동),제주특별자치도 제주시 노형동 1291번지 24호 (1층) ,25.93,,제과점영업
199,제과점영업,저지미애수다뜰,제주특별자치도 제주시 한경면 저지12길 16,제주특별자치도 제주시 한경면 저지리 540번지 6호 (1층) ,56.08,064-772-1210,제과점영업
200,제과점영업,주영올레베이커리,제주특별자치도 제주시 고마로10길 10 101호 (일도이동),제주특별자치도 제주시 일도이동 331번지 28호 101호,3.3,,제과점영업
201,제과점영업,주영올레베이커리,제주특별자치도 제주시 정존11길 23 (노형동),제주특별자치도 제주시 노형동 2612번지 7호 (1층) ,3.3,,제과점영업
202,제과점영업,주영올레베이커리,제주특별자치도 제주시 신대로10길 44 1층 (연동),제주특별자치도 제주시 연동 270번지 9호 ,6.6,,제과점영업
203,제과점영업,파리바게트제주노형백록점,제주특별자치도 제주시 월랑로 39 102호 (노형동),제주특별자치도 제주시 노형동 2581번지 3호 102호,76.63,,제과점영업
204,제과점영업,고산농협하나로베이커리,제주특별자치도 제주시 한경면 용고로 81,제주특별자치도 제주시 한경면 고산리 2818번지 6호 (1층) ,21.68,,제과점영업
205,제과점영업,뚜레쥬르제주법원점,제주특별자치도 제주시 중앙로 291 (이도이동),제주특별자치도 제주시 이도이동 1065번지 4호 (1층) ,198.05,064-757-0324,제과점영업
206,제과점영업,누벨베이커리용담점,제주특별자치도 제주시 월성로4길 6 (용담이동),제주특별자치도 제주시 용담이동 744번지 11호 (1층) ,3.3,064-711-5504,제과점영업
207,제과점영업,파리바게뜨제주아라점,,제주특별자치도 제주시 아라일동 0번지 0호 아라지구 C3블록 3로트(1층2층) ,197.14,064-723-8204,제과점영업
208,제과점영업,제주보리촌,제주특별자치도 제주시 신설로2길 17-4 (이도이동),제주특별자치도 제주시 이도이동 1970번지 3호 (1층) ,66,064-723-0377,제과점영업
209,제과점영업,잇브레드제주점,제주특별자치도 제주시 우정로 63 (외도일동),제주특별자치도 제주시 외도일동 548번지 4호 (1층) ,91.92,,제과점영업
210,제과점영업,옵서예떡,제주특별자치도 제주시 성신로2길 23-5 1층 (연동),제주특별자치도 제주시 연동 2328번지 6호 ,51.84,064-759-1235,제과점영업
211,제과점영업,프랑세즈2호점,제주특별자치도 제주시 용문로12길 12 (용담이동),제주특별자치도 제주시 용담이동 2706번지 47호 ,3.3,,제과점영업
212,제과점영업,리옹프랑스,제주특별자치도 제주시 구좌읍 김녕로 124 1층,제주특별자치도 제주시 구좌읍 김녕리 1691번지 2호 ,21.45,,제과점영업
213,제과점영업,햇살마루베이커리,제주특별자치도 제주시 원노형로 46 (노형동),제주특별자치도 제주시 노형동 938번지 ,35,064-711-0043,제과점영업
214,제과점영업,파리바게뜨제주용담점,제주특별자치도 제주시 용문로 162 (용담이동),제주특별자치도 제주시 용담이동 2678번지 1호 ,130.57,064-712-8285,제과점영업
215,제과점영업,뽕끌랑,제주특별자치도 제주시 구남동1길 11 (이도이동),제주특별자치도 제주시 이도이동 1991번지 9호 ,57.23,064-722-8646,제과점영업
216,제과점영업,무지개빵집4호점,제주특별자치도 제주시 광평동로 63 (노형동),제주특별자치도 제주시 노형동 2880번지 유드림마트 ,3.3,,제과점영업
217,제과점영업,뚜레쥬르S중앙병원점,제주특별자치도 제주시 월랑로 91 (이호이동),제주특별자치도 제주시 이호이동 22번지 ,62.8,,제과점영업
218,제과점영업,아라파파,제주특별자치도 제주시 국기로3길 2 (연동),제주특별자치도 제주시 연동 1523번지 ,133.17,064-725-8204,제과점영업
219,제과점영업,돌담길에수선화,제주특별자치도 제주시 신산로 85 (일도이동),제주특별자치도 제주시 일도이동 338번지 15호 ,42.01,064-756-8008,제과점영업
220,제과점영업,보성빵집,제주특별자치도 제주시 동광로1길 28-1 (이도일동),제주특별자치도 제주시 이도일동 1256번지 7호 ,33.07,064-721-6732,제과점영업
221,제과점영업,제주의아침베이커리,제주특별자치도 제주시 국기로 17 (연동),제주특별자치도 제주시 연동 1482번지 4호 ,55.25,,제과점영업
222,제과점영업,킹베이커리,제주특별자치도 제주시 조천읍 신북로 551,제주특별자치도 제주시 조천읍 함덕리 1002번지 6호 ,27.5,,제과점영업
223,제과점영업,제주아이쿱소비자생활협동조합이도점,제주특별자치도 제주시 신설로6길 18 (아라이동),제주특별자치도 제주시 아라이동 3001번지 13호 ,41.1,064-725-4545,제과점영업
224,제과점영업,하나빵집베이커리,제주특별자치도 제주시 고산동산5길 24 (이도이동),제주특별자치도 제주시 이도이동 1059번지 외2필지 ,21.4,064-725-0456,제과점영업
225,제과점영업,보엠,제주특별자치도 제주시 원노형로 102 103호 (노형동 한화아파트 상가동),제주특별자치도 제주시 노형동 731번지 2호 ,25.2,064-711-9990,제과점영업
226,제과점영업,얌얌브래드,제주특별자치도 제주시 인다2길 30 (아라일동),제주특별자치도 제주시 아라일동 6117번지 8호 ,106.81,,제과점영업
227,제과점영업,제주명품쑥보리빵,제주특별자치도 제주시 우정로 2 (외도일동),제주특별자치도 제주시 외도일동 418번지 11호 ,79.25,,제과점영업
228,제과점영업,메종드베니,제주특별자치도 제주시 동화로 28 (화북일동),제주특별자치도 제주시 화북일동 1152번지 5호 ,150.56,064-723-2355,제과점영업
229,제과점영업,베이커리포그,제주특별자치도 제주시 아란7길 10 (아라일동),제주특별자치도 제주시 아라일동 6095번지 13호 ,139.58,064-753-0452,제과점영업
230,제과점영업,무지개빵집,제주특별자치도 제주시 구남로 16 (이도이동),제주특별자치도 제주시 이도이동 2034번지 9호 ,30.24,064-753-7904,제과점영업
231,제과점영업,화북별미,제주특별자치도 제주시 진동로3길 23 1층 (화북일동),제주특별자치도 제주시 화북일동 1973번지 19호 ,52.13,064-722-1317,제과점영업
232,제과점영업,파리바게뜨제주삼화점,제주특별자치도 제주시 화삼북로 136 상가동 101호 (도련이동 제주삼화사랑으로부영1차),제주특별자치도 제주시 도련이동 548번지 ,65.52,,제과점영업
233,제과점영업,메종드쁘띠푸르,제주특별자치도 제주시 신설로7길 3 (아라이동),제주특별자치도 제주시 아라이동 3001번지 19호 ,105,064-702-0919,제과점영업
234,제과점영업,조천하나로마트빵집1호점,제주특별자치도 제주시 조천읍 신북로 240 1층,제주특별자치도 제주시 조천읍 조천리 2325번지 1호 ,16.5,064-784-4907,제과점영업
235,제과점영업,파리바게뜨제주공항점,제주특별자치도 제주시 공항로 2 3층 (용담이동 제주공항),제주특별자치도 제주시 용담이동 2002번지 ,50.33,,제과점영업
236,제과점영업,브리앙뜨,제주특별자치도 제주시 화삼로1길 20 A동 1층 (화북일동),제주특별자치도 제주시 화북일동 1023번지 1호 ,49,064-751-0742,제과점영업
237,제과점영업,주영올레베이커리,제주특별자치도 제주시 광양9길 41 1층 (이도이동),제주특별자치도 제주시 이도이동 1171번지 2호 ,6.6,,제과점영업
238,제과점영업,무지개빵집2호점,제주특별자치도 제주시 연북로 444 1층 (도남동),제주특별자치도 제주시 도남동 277번지 ,3.3,064-753-7904,제과점영업
239,제과점영업,꽃비나리는뜨락,제주특별자치도 제주시 남광로2길 43-30 1층 (이도이동),제주특별자치도 제주시 이도이동 1982번지 30호 ,155.85,064-753-8253,제과점영업
240,제과점영업,크리스피크림제주노형점,제주특별자치도 제주시 1100로 3326 1층 (노형동),제주특별자치도 제주시 노형동 920번지 7호 ,142.65,064-749-1937,제과점영업
241,제과점영업,빵굽는아저씨오라마트점,제주특별자치도 제주시 연사3길 12 1층 (오라이동),제주특별자치도 제주시 오라이동 1479번지 1호 ,17,064-745-1188,제과점영업
242,제과점영업,듀브레드,제주특별자치도 제주시 남광로2길 41-1 1층 (이도이동),제주특별자치도 제주시 이도이동 1981번지 20호 ,82.5,070-4212-8210,제과점영업
243,제과점영업,빠라빠빵,제주특별자치도 제주시 서해안로 472-2 1층 (용담삼동),제주특별자치도 제주시 용담삼동 2371번지 ,47.46,,제과점영업
244,제과점영업,브와두스베이커리카페,제주특별자치도 제주시 국기로 35 1층 (연동),제주특별자치도 제주시 연동 1498번지 2호 ,238.14,,제과점영업
245,제과점영업,에이팩토리베이커리,제주특별자치도 제주시 탑동로2길 3 1층 (삼도이동),제주특별자치도 제주시 삼도이동 1261번지 7호 ,196,064-720-8251,제과점영업
246,제과점영업,빵굽는작은마을삼화점,제주특별자치도 제주시 화삼북로 131 (삼양이동 삼화마트),제주특별자치도 제주시 삼양이동 2332번지 4호 ,10,064-722-7899,제과점영업
247,제과점영업,브레드빈,제주특별자치도 제주시 연화로 51 1층 (연동),제주특별자치도 제주시 연동 1526번지 1호 ,118.25,,제과점영업
248,제과점영업,식빵이야기,제주특별자치도 제주시 남녕로 42 1층 (연동),제주특별자치도 제주시 연동 1953번지 7호 ,23.07,,제과점영업
249,제과점영업,제주빵야,제주특별자치도 제주시 화삼북로 56 1층 (도련일동),제주특별자치도 제주시 도련일동 1964번지 2호 ,33.25,064-725-0566,제과점영업
250,제과점영업,베들레헴,제주특별자치도 제주시 인다2길 36 1층 (아라일동),제주특별자치도 제주시 아라일동 6116번지 6호 ,90.54,064-723-1530,제과점영업
251,제과점영업,잇브레드노형점,제주특별자치도 제주시 수덕로 75 1층 (노형동),제주특별자치도 제주시 노형동 2511번지 5호 ,58.12,064-712-1999,제과점영업
252,제과점영업,제주가마솥보리빵,제주특별자치도 제주시 임항로 251 제1호 (건입동),제주특별자치도 제주시 건입동 658번지 ,56.1,,제과점영업
253,제과점영업,뚜레쥬르아라아이파크점,제주특별자치도 제주시 인다10길 22 1층 (아라일동),제주특별자치도 제주시 아라일동 6134번지 ,80.28,064-751-3340,제과점영업
254,제과점영업,장가네보리빵,제주특별자치도 제주시 용화로 43 1층 (용담이동),제주특별자치도 제주시 용담이동 616번지 44호 ,19.83,064-711-0994,제과점영업
255,제과점영업,어머니빵집,제주특별자치도 제주시 도령로 103 106호 (연동 연동한일씨티파크),제주특별자치도 제주시 연동 2325번지 7호 ,160.48,,제과점영업
256,제과점영업,반월당고로케신제주점,제주특별자치도 제주시 성신로 15 1층 (연동),제주특별자치도 제주시 연동 1965번지 1호 ,73,,제과점영업
257,제과점영업,도도슈가,제주특별자치도 제주시 과원북2길 52 1층 (연동),제주특별자치도 제주시 연동 1495번지 3호 ,45.1,,제과점영업
258,제과점영업,북촌9길빵,제주특별자치도 제주시 조천읍 북촌9길 3 1층,제주특별자치도 제주시 조천읍 북촌리 615번지 1호 ,31.72,,제과점영업
259,제과점영업,수제홍과일모찌,제주특별자치도 제주시 연동14길 14 1층 (연동),제주특별자치도 제주시 연동 294번지 25호 ,15.64,,제과점영업
260,제과점영업,르방,제주특별자치도 제주시 연북로 165 1층 (연동),제주특별자치도 제주시 연동 456번지 13호 ,26.4,,제과점영업
261,제과점영업,볼레로제스,제주특별자치도 제주시 원노형8길 21 1층 (노형동),제주특별자치도 제주시 노형동 938번지 6호 ,36.86,064-743-1884,제과점영업
262,제과점영업,봉끄랑과자점,제주특별자치도 제주시 우도면 우도해안길 144 1층 제1호,제주특별자치도 제주시 우도면 연평리 2649번지 1호 ,68.6,,제과점영업
263,제과점영업,메종드쁘띠푸르2호점,제주특별자치도 제주시 신설로6길 2-11 1층 (아라이동),제주특별자치도 제주시 아라이동 3002번지 8호 ,66,,제과점영업
264,제과점영업,제주향단팥빵,제주특별자치도 제주시 월랑로10길 26 1층 103호 (노형동 대성빌리지),제주특별자치도 제주시 노형동 1050번지 4호 ,38.61,,제과점영업
265,제과점영업,빵장수단팥빵,제주특별자치도 제주시 도령로 70 1층 (연동),제주특별자치도 제주시 연동 251번지 21호 ,55.44,064-748-7749,제과점영업
266,제과점영업,코시롤,제주특별자치도 제주시 도남로 183 101호 (이도이동),제주특별자치도 제주시 이도이동 2043번지 6호 ,84.07,,제과점영업
267,제과점영업,주영올레베이커리,제주특별자치도 제주시 원노형3길 1 1층 (노형동),제주특별자치도 제주시 노형동 917번지 1호 ,6.6,,제과점영업
268,제과점영업,던킨도너츠제주노형점,제주특별자치도 제주시 연북로 26 101호 (노형동),제주특별자치도 제주시 노형동 719번지 3호 ,84.57,064-742-1260,제과점영업
269,제과점영업,오션스위츠베이커리(2층),제주특별자치도 제주시 탑동해안로 74 201호 (삼도이동),제주특별자치도 제주시 삼도이동 1260번지 2호 ,9,064-720-6227,제과점영업
270,제과점영업,주영올레베이커리,제주특별자치도 제주시 동광로19길 22 114호 (일도이동),제주특별자치도 제주시 일도이동 326번지 1호 ,15.91,,제과점영업
271,제과점영업,신라스테이제주,제주특별자치도 제주시 노연로 100 1층 (연동),제주특별자치도 제주시 연동 274번지 16호 ,10.4,064-717-9181,제과점영업
272,제과점영업,신라스테이제주,제주특별자치도 제주시 노연로 100 11층 (연동),제주특별자치도 제주시 연동 274번지 16호 ,15,064-717-9181,제과점영업
273,제과점영업,한라산쑥찐빵,제주특별자치도 제주시 진군1길 7 104호 (노형동),제주특별자치도 제주시 노형동 753번지 ,29.25,064-747-9908,제과점영업
274,제과점영업,주영올레베이커리,제주특별자치도 제주시 신성로2길 17 1층 (도남동),제주특별자치도 제주시 도남동 46번지 4호 ,9.9,,제과점영업
275,제과점영업,담음,제주특별자치도 제주시 신성로12길 24 1층 (이도이동),제주특별자치도 제주시 이도이동 1015번지 23호 ,113.09,064-758-3380,제과점영업
276,제과점영업,덕인당빵집제주점,제주특별자치도 제주시 연삼로 180 1층 (오라이동),제주특별자치도 제주시 오라이동 1203번지 ,87.71,064-756-6153,제과점영업
277,제과점영업,행복나눔베이커리,제주특별자치도 제주시 오라로 61 1층 (오라이동),제주특별자치도 제주시 오라이동 2217번지 2호 ,24,064-742-4111,제과점영업
278,제과점영업,롯데리아제주한림점,제주특별자치도 제주시 한림읍 한림중앙로 46 2층,제주특별자치도 제주시 한림읍 한림리 936번지 7호 ,132.66,,제과점영업
279,제과점영업,도쿄팡야신제주점,제주특별자치도 제주시 노연로 37-1 1층 (노형동),제주특별자치도 제주시 노형동 914번지 7호 ,164.4,064-711-5950,제과점영업
280,제과점영업,파리바게뜨함덕해수욕장점,제주특별자치도 제주시 조천읍 신북로 473 1층,제주특별자치도 제주시 조천읍 함덕리 3093번지 2호 ,113,,제과점영업
281,제과점영업,캣어클락,제주특별자치도 제주시 화삼로 110 106호 (도련이동),제주특별자치도 제주시 도련이동 550번지 ,30.45,,제과점영업
282,제과점영업,쿠킹차일드,제주특별자치도 제주시 수정2길 21-1 101호 (외도일동),제주특별자치도 제주시 외도일동 403번지 3호 ,74.45,,제과점영업
283,제과점영업,파리바게뜨제주종합청사점,제주특별자치도 제주시 복지로5길 2 1층 (도남동),제주특별자치도 제주시 도남동 693번지 1호 ,96,,제과점영업
284,제과점영업,조끄뜨레,제주특별자치도 제주시 수덕11길 46 1층 (노형동),제주특별자치도 제주시 노형동 2529번지 7호 ,8.4,064-711-0994,제과점영업
285,제과점영업,조끄뜨레이도점,제주특별자치도 제주시 구남동8길 30 1층 (이도이동),제주특별자치도 제주시 이도이동 2015번지 15호 ,8.4,,제과점영업
286,제과점영업,달달해,제주특별자치도 제주시 인다8길 34 1층 (아라일동),제주특별자치도 제주시 아라일동 6112번지 4호 ,37.73,,제과점영업
287,제과점영업,외계인방앗간제주본점,제주특별자치도 제주시 연북로 24 지101호 (노형동),제주특별자치도 제주시 노형동 719번지 2호 ,137.5,,제과점영업
288,제과점영업,버터모닝,제주특별자치도 제주시 애월읍 하광로 279 1층,제주특별자치도 제주시 애월읍 광령리 3798번지 3호 ,141.82,,제과점영업
289,제과점영업,파리바게뜨제주애월점,제주특별자치도 제주시 애월읍 애월로 128 1층,제주특별자치도 제주시 애월읍 애월리 1638번지 1호 ,73.48,,제과점영업
290,제과점영업,파리바게뜨노형아이파크점,제주특별자치도 제주시 신형로 14 1층 (노형동),제주특별자치도 제주시 노형동 3794번지 12호 ,106.45,064-747-0440,제과점영업
291,제과점영업,뚜레쥬르제주노형타운점,제주특별자치도 제주시 노형6길 2 1층 (노형동),제주특별자치도 제주시 노형동 3796번지 ,221,064-742-2345,제과점영업
292,제과점영업,메종드쁘띠푸르3호점,제주특별자치도 제주시 노형8길 12 1층 (노형동),제주특별자치도 제주시 노형동 3786번지 ,141.9,,제과점영업
293,제과점영업,무지개마트구내브리앙뜨,제주특별자치도 제주시 화삼로 17 1층 (화북일동),제주특별자치도 제주시 화북일동 1023번지 7호 ,6.6,,제과점영업
294,제과점영업,브레드2805,제주특별자치도 제주시 성신로 18 1층 (연동),제주특별자치도 제주시 연동 2319번지 5호 ,49.68,,제과점영업
295,제과점영업,미인빵,제주특별자치도 제주시 아란9길 12 1층 (아라일동),제주특별자치도 제주시 아라일동 6089번지 4호 ,80.22,,제과점영업
296,제과점영업,슈베이커리,제주특별자치도 제주시 용담로 44 1층 (용담이동),제주특별자치도 제주시 용담이동 593번지 2호 ,55.93,,제과점영업
297,제과점영업,파리바게뜨삼화2지구점,제주특별자치도 제주시 건주로 31 1층 (도련일동),제주특별자치도 제주시 도련일동 1937번지 3호 ,68.4,,제과점영업
298,제과점영업,제주달고나,제주특별자치도 제주시 애월읍 하귀로 59 1층,제주특별자치도 제주시 애월읍 하귀2리 1714번지 1호 ,33,,제과점영업
299,제과점영업,코코아루,제주특별자치도 제주시 성신로1길 19 (연동),  ,42.9,,제과점영업
300,제과점영업,파리바게뜨협재해수욕장점,제주특별자치도 제주시 한림읍 한림로 348,  ,98.05,,제과점영업
301,제과점영업,파리바게뜨제주신촌점,,제주특별자치도 제주시 조천읍 신촌리 2576번지 1호 ,97.44,,제과점영업
302,제과점영업,빠라빠빵2호점,제주특별자치도 제주시 화삼북로 139 1층 (삼양이동),제주특별자치도 제주시 삼양이동 2332번지 6호 ,59.4,,제과점영업
303,제과점영업,요모효모,제주특별자치도 제주시 우정로12길 10 1층 (외도일동),제주특별자치도 제주시 외도일동 497번지 17호 ,74.65,,제과점영업
304,제과점영업,블럭제빵소,제주특별자치도 제주시 연화로1길 9 1층 (연동),제주특별자치도 제주시 연동 1495번지 6호 ,60.67,,제과점영업
305,제과점영업,외계인방앗간제주지점,제주특별자치도 제주시 정존11길 39 1층 (노형동),제주특별자치도 제주시 노형동 2615번지 10호 ,46.48,,제과점영업
306,제과점영업,떠기오네,제주특별자치도 제주시 거로남10길 25 1층 (화북이동),제주특별자치도 제주시 화북이동 2322번지 1호 ,39,,제과점영업
307,제과점영업,펀,제주특별자치도 제주시 중앙로 222 5층 (이도이동),제주특별자치도 제주시 이도이동 1772번지 19호 ,19.32,,제과점영업
308,제과점영업,라봉베이커리,제주특별자치도 제주시 연수로3길 27 1층 (일도이동),제주특별자치도 제주시 일도이동 57번지 13호 ,43.5,,제과점영업
309,제과점영업,파리바게뜨제주하귀점,제주특별자치도 제주시 애월읍 하귀9길 29 1층,제주특별자치도 제주시 애월읍 하귀1리 156번지 1호 ,92.86,064-712-8325,제과점영업
310,제과점영업,제주하멜,제주특별자치도 제주시 노형2길 51-3 1층 (노형동),제주특별자치도 제주시 노형동 3814번지 1호 ,86.59,,제과점영업
311,제과점영업,제주맷돌보리빵,제주특별자치도 제주시 한림읍 중산간서로 3923 1층,제주특별자치도 제주시 한림읍 월림리 2289번지 ,66,,제과점영업
312,제과점영업,씨유쿡,제주특별자치도 제주시 구남동1길 46 1층 (아라이동),제주특별자치도 제주시 아라이동 3012번지 18호 ,76.03,,제과점영업
313,제과점영업,데이지,제주특별자치도 제주시 애월읍 유수암평화5길 32 B동 1층,제주특별자치도 제주시 애월읍 유수암리 1038번지 7호 ,29.5,,제과점영업
314,제과점영업,지나스테이블,제주특별자치도 제주시 인다4길 37-2 1층 (아라일동),제주특별자치도 제주시 아라일동 6153번지 ,51.67,,제과점영업
315,제과점영업,오물락,제주특별자치도 제주시 화삼로1길 5 1층 (화북일동),제주특별자치도 제주시 화북일동 1017번지 1호 ,99,064-722-0080,제과점영업
316,제과점영업,가락촌,제주특별자치도 제주시 애월읍 중산간서로 5684,제주특별자치도 제주시 애월읍 상가리 1751번지 1호 ,37.8,,제과점영업
